Land Use,Region,Subzone,Planning Area,Geometry-Land Use,Geometry-Region,Geometry-Subzone,Geometry-Planning Area
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
WATERBODY,CENTRAL REGION,BISHAN EAST,BISHAN,MultiPolygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,MultiPolygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
UTILITY,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
HEALTH & MEDICAL CARE,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
HEALTH & MEDICAL CARE,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
HEALTH & MEDICAL CARE,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS PARK,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
BUSINESS PARK,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL WITH COMMERCIAL AT 1ST STOREY,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,WEST REGION,YUNNAN,JURONG WEST,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BISHAN EAST,BISHAN,MultiPolygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
EDUCATIONAL INSTITUTION,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
UTILITY,CENTRAL REGION,BISHAN EAST,BISHAN,Polygon,MultiPolygon,Polygon,Polygon
RESERVE SITE,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
RESERVE SITE,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
COMMERCIAL,CENTRAL REGION,SINGAPORE GENERAL HOSPITAL,BUKIT MERAH,Polygon,MultiPolygon,Polygon,Polygon
TRANSPORT FACILITIES,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,NORTH-EAST REGION,UPPER PAYA LEBAR,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
ROAD,CENTRAL REGION,BOON TECK,TOA PAYOH,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
RESIDENTIAL,NORTH-EAST REGION,LORONG CHUAN,SERANGOON,Polygon,MultiPolygon,Polygon,Polygon
