Year,Month,Latitude,Longitude,Postal Code,Region,Planning Area,Subzone,Block,Street Name,Flat Type,Flat Model,Storey Lower,Storey Upper,Floor Area Sqm,Lease Commence Date,Years Remaining,Closest Mrt,Closest Mrt Dist,Cbd Dist,Electoral Boundary,Ruling Party,Resale Price
2020,1,1.344859158,103.8484008,570101.0,CENTRAL REGION,BISHAN,BISHAN EAST,101.0,BISHAN ST 12,5 ROOM,IMPROVED,1,3,121,1987,66,Braddell MRT Station,517.1325633,6847.673649,BISHAN-TOA PAYOH,PAP,672000
2020,1,1.345512491,103.8483142,570103.0,CENTRAL REGION,BISHAN,BISHAN EAST,103.0,BISHAN ST 12,5 ROOM,IMPROVED,4,6,121,1986,65,Braddell MRT Station,582.6153813,6920.292569,BISHAN-TOA PAYOH,PAP,690000
2020,1,1.346810298,103.8490411,570112.0,CENTRAL REGION,BISHAN,BISHAN EAST,112.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,4,6,84,1985,64,Bishan MRT Station,498.3178922,7060.292018,BISHAN-TOA PAYOH,PAP,510000
2020,1,1.346810298,103.8490411,570112.0,CENTRAL REGION,BISHAN,BISHAN EAST,112.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,4,6,84,1985,64,Bishan MRT Station,498.3178922,7060.292018,BISHAN-TOA PAYOH,PAP,480000
2020,1,1.347918389,103.8487501,570115.0,CENTRAL REGION,BISHAN,BISHAN EAST,115.0,BISHAN ST 12,4 ROOM,MODEL A,1,3,104,1986,65,Bishan MRT Station,378.169241,7183.948825,BISHAN-TOA PAYOH,PAP,590000
2020,1,1.347918389,103.8487501,570115.0,CENTRAL REGION,BISHAN,BISHAN EAST,115.0,BISHAN ST 12,3 ROOM,SIMPLIFIED,4,6,64,1986,65,Bishan MRT Station,378.169241,7183.948825,BISHAN-TOA PAYOH,PAP,387000
2020,1,1.346819884,103.8506141,570122.0,CENTRAL REGION,BISHAN,BISHAN EAST,122.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,7,9,84,1986,65,Bishan MRT Station,523.4960048,7057.287596,BISHAN-TOA PAYOH,PAP,510000
2020,1,1.346476051,103.8512737,570124.0,CENTRAL REGION,BISHAN,BISHAN EAST,124.0,BISHAN ST 12,5 ROOM,IMPROVED,1,3,121,1987,66,Bishan MRT Station,585.460715,7018.856082,BISHAN-TOA PAYOH,PAP,650000
2020,1,1.346075894,103.8516948,570127.0,CENTRAL REGION,BISHAN,BISHAN EAST,127.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,7,9,83,1986,65,Bishan MRT Station,645.3891642,6974.746557,BISHAN-TOA PAYOH,PAP,472000
2020,1,1.345411048,103.8520798,570134.0,CENTRAL REGION,BISHAN,BISHAN EAST,134.0,BISHAN ST 12,EXECUTIVE,APARTMENT,1,3,151,1986,65,Bishan MRT Station,730.2879804,6901.638515,BISHAN-TOA PAYOH,PAP,780000
2020,1,1.345153984,103.8533671,570141.0,CENTRAL REGION,BISHAN,BISHAN EAST,141.0,BISHAN ST 12,4 ROOM,SIMPLIFIED,7,9,84,1988,67,Bishan MRT Station,827.9523821,6876.517307,BISHAN-TOA PAYOH,PAP,440000
2020,1,1.345941268,103.8533221,570144.0,CENTRAL REGION,BISHAN,BISHAN EAST,144.0,BISHAN ST 12,4 ROOM,MODEL A,7,9,104,1988,67,Bishan MRT Station,754.8312294,6963.359352,BISHAN-TOA PAYOH,PAP,480000
2020,1,1.345073219,103.8555423,570151.0,CENTRAL REGION,BISHAN,BISHAN EAST,151.0,BISHAN ST 11,4 ROOM,SIMPLIFIED,4,6,93,1989,68,Bishan MRT Station,992.0186249,6879.956354,BISHAN-TOA PAYOH,PAP,420000
2020,1,1.346227092,103.8559056,570155.0,CENTRAL REGION,BISHAN,BISHAN EAST,155.0,BISHAN ST 13,5 ROOM,IMPROVED,13,15,121,1987,66,Bishan MRT Station,939.9334048,7010.090208,BISHAN-TOA PAYOH,PAP,707000
2020,1,1.346227092,103.8559056,570155.0,CENTRAL REGION,BISHAN,BISHAN EAST,155.0,BISHAN ST 13,5 ROOM,IMPROVED,10,12,131,1987,66,Bishan MRT Station,939.9334048,7010.090208,BISHAN-TOA PAYOH,PAP,780000
2020,1,1.349198229,103.8561944,570165.0,CENTRAL REGION,BISHAN,BISHAN EAST,165.0,BISHAN ST 13,5 ROOM,IMPROVED,13,15,121,1988,67,Bishan MRT Station,819.2266174,7340.098994,BISHAN-TOA PAYOH,PAP,640000
2020,1,1.348863451,103.8552258,570166.0,CENTRAL REGION,BISHAN,BISHAN EAST,166.0,BISHAN ST 13,5 ROOM,IMPROVED,1,3,122,1987,66,Bishan MRT Station,729.5198425,7295.93514,BISHAN-TOA PAYOH,PAP,685000
2020,1,1.349550949,103.851544,570187.0,CENTRAL REGION,BISHAN,BISHAN EAST,187.0,BISHAN ST 13,EXECUTIVE,APARTMENT,1,3,142,1987,66,Bishan MRT Station,331.1278256,7358.912147,BISHAN-TOA PAYOH,PAP,850000
2020,1,1.349550949,103.851544,570187.0,CENTRAL REGION,BISHAN,BISHAN EAST,187.0,BISHAN ST 13,EXECUTIVE,MAISONETTE,4,6,146,1987,66,Bishan MRT Station,331.1278256,7358.912147,BISHAN-TOA PAYOH,PAP,940000
2020,1,1.348362498,103.8508971,570195.0,CENTRAL REGION,BISHAN,BISHAN EAST,195.0,BISHAN ST 13,3 ROOM,SIMPLIFIED,1,3,64,1988,67,Bishan MRT Station,380.6136042,7227.588243,BISHAN-TOA PAYOH,PAP,328000
2020,1,1.348362498,103.8508971,570195.0,CENTRAL REGION,BISHAN,BISHAN EAST,195.0,BISHAN ST 13,4 ROOM,SIMPLIFIED,4,6,85,1988,67,Bishan MRT Station,380.6136042,7227.588243,BISHAN-TOA PAYOH,PAP,445000
2020,1,1.344559833,103.8557374,571150.0,CENTRAL REGION,BISHAN,BISHAN EAST,,BISHAN ST 11,4 ROOM,SIMPLIFIED,1,3,84,1989,68,Bishan MRT Station,1047.427497,6824.86042,BISHAN-TOA PAYOH,PAP,392000
2020,1,1.356272467,103.8482499,570212.0,CENTRAL REGION,BISHAN,MARYMOUNT,212.0,BISHAN ST 23,EXECUTIVE,MAISONETTE,4,6,149,1992,71,Bishan MRT Station,556.96866,8109.200978,MARYMOUNT,PAP,913000
2020,1,1.357511897,103.8483034,570214.0,CENTRAL REGION,BISHAN,MARYMOUNT,214.0,BISHAN ST 23,5 ROOM,MODEL A,4,6,133,1992,71,Bishan MRT Station,691.4334495,8245.889433,MARYMOUNT,PAP,698000
2020,1,1.357511897,103.8483034,570214.0,CENTRAL REGION,BISHAN,MARYMOUNT,214.0,BISHAN ST 23,4 ROOM,MODEL A,4,6,103,1992,71,Bishan MRT Station,691.4334495,8245.889433,MARYMOUNT,PAP,485000
2020,1,1.358546005,103.8471273,570226.0,CENTRAL REGION,BISHAN,MARYMOUNT,226.0,BISHAN ST 23,5 ROOM,MODEL A,10,12,139,1992,71,Bishan MRT Station,830.2719827,8366.387098,MARYMOUNT,PAP,800000
2020,1,1.358546005,103.8471273,570226.0,CENTRAL REGION,BISHAN,MARYMOUNT,226.0,BISHAN ST 23,4 ROOM,MODEL A,7,9,102,1992,71,Bishan MRT Station,830.2719827,8366.387098,MARYMOUNT,PAP,555000
2020,1,1.358478221,103.846408,570235.0,CENTRAL REGION,BISHAN,MARYMOUNT,235.0,BISHAN ST 22,4 ROOM,MODEL A,10,12,113,1992,71,Bishan MRT Station,848.3490712,8363.732604,MARYMOUNT,PAP,600000
2020,1,1.359004909,103.8470066,570236.0,CENTRAL REGION,BISHAN,MARYMOUNT,236.0,BISHAN ST 22,4 ROOM,MODEL A,4,6,109,1992,71,Bishan MRT Station,882.7587374,8417.804611,MARYMOUNT,PAP,508000
2020,1,1.359760803,103.8446426,570238.0,CENTRAL REGION,BISHAN,MARYMOUNT,238.0,BISHAN ST 22,EXECUTIVE,MAISONETTE,4,6,149,1992,71,Bishan MRT Station,1059.493518,8520.090506,MARYMOUNT,PAP,815000
2020,1,1.362243147,103.8431024,570253.0,CENTRAL REGION,BISHAN,MARYMOUNT,253.0,BISHAN ST 22,4 ROOM,MODEL A,1,3,112,1992,71,Ang Mo Kio MRT Station,1113.171215,8809.666529,MARYMOUNT,PAP,555000
