Year,Planning Area,,l1_chi,l1_eng,l1_mal,l1_non_off,l1_tam,l2_eng_chi,l2_eng_mal,l2_eng_non_off,l2_eng_tam,l2_other_two,l3_eng_chi_mal,l3_eng_mal_tam,l3_other_three,no_literate
2010,Marina South,No Data,,,,,,,,,,,,,,
2010,Marine Parade,,3700,7176,582,83,69,15727,3600,2067,399,167,934,120,1887,1336
2010,Museum,No Data,,,,,,,,,,,,,,
2010,Newton,,179,1303,6,24,23,1420,219,609,48,38,181,13,623,26
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,
2010,Novena,,5203,6638,117,83,110,16299,2435,1923,1061,129,853,212,1413,1644
2010,Orchard,No Data,,,,,,,,,,,,,,
2010,Outram,,4321,1064,150,22,138,5284,793,312,477,96,349,54,317,1694
2010,Pasir Ris,,9849,12893,1308,118,91,46048,22450,2860,2300,303,2892,437,3451,2040
2010,Paya Lebar,No Data,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,
2010,Punggol,,5976,4452,351,42,26,23683,5128,1459,1077,207,1379,74,1359,1150
2010,Queenstown,,12949,11141,1383,131,299,32319,6389,3048,2669,349,2360,529,2733,4733
2010,River Valley,,424,1540,8,8,0,2295,353,763,43,16,275,8,688,69
2010,Rochor,,2750,1233,70,51,317,4995,455,215,1148,59,263,134,357,812
2010,Seletar,No Data,,,,,,,,,,,,,,
2010,Sembawang,,8476,4592,598,77,102,25490,7416,2162,2376,144,2317,358,1558,1416
2010,Sengkang,,19775,11789,1259,172,251,66133,13026,3558,3663,431,3723,491,3683,4038
2010,Serangoon,,14674,16416,661,136,354,50103,6811,1744,4341,344,2548,752,2341,3684
2010,Simpang,No Data,,,,,,,,,,,,,,
2010,Singapore River,,42,346,0,17,0,557,14,207,0,8,32,0,148,0
2010,Southern Islands,No Data,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,
2010,Tampines,,28187,22103,4900,357,255,83938,45904,5402,4025,637,5551,636,6524,6960
2010,Tanglin,,481,3685,0,25,0,5450,570,1265,77,78,398,0,1244,106
2010,Tengah,No Data,,,,,,,,,,,,,,
2010,Toa Payoh,,19319,14231,1209,170,460,44983,7527,2095,2927,502,2947,537,2222,6777
2010,Tuas,No Data,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,
2010,Woodlands,,29259,12006,4670,287,807,66808,42376,4274,8810,1073,9601,1729,5536,5708
2010,Yishun,,26211,11760,2661,212,642,60037,23329,3338,7454,653,5461,1160,3511,6001
2015,Ang Mo Kio,,30900,18700,1900,300,700,70200,12800,2600,5500,500,,,,7600
2015,Bedok,,34000,31500,4900,300,300,97000,37400,5100,5500,300,,,,8900
2015,Bishan,,8700,12600,0,0,0,41500,3700,800,4100,300,,,,1600
2015,Boon Lay,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Bukit Batok,,16400,10900,1300,100,300,59200,15000,2200,4300,600,,,,3100
2015,Bukit Merah,,23900,13100,1500,100,700,61900,8900,3900,4800,300,,,,7500
2015,Bukit Panjang,,16900,7800,1600,200,100,61000,19100,1600,2800,600,,,,3600
2015,Bukit Timah,,3800,11500,0,0,0,33800,2500,1700,600,0,,,,300
2015,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Changi,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Changi Bay,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Choa Chu Kang,,19400,10400,1600,100,500,70800,23400,4200,6200,600,,,,3000
2015,Clementi,,11300,8800,1100,100,100,33800,7500,1600,2000,200,,,,3100
2015,Downtown Core,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Geylang,,15100,6600,1600,200,300,43200,12300,2000,1800,500,,,,4200
2015,Hougang,,30900,18900,900,0,500,98400,14200,2000,5100,500,,,,5500
2015,Jurong East,,13500,7600,1100,100,400,25700,11000,700,4900,200,,,,2500
2015,Jurong West,,41200,18400,5100,200,1300,95900,33100,4200,12400,1200,,,,7900
2015,Kallang,,13500,7800,700,200,900,39000,5300,3000,4300,400,,,,4700
2015,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Mandai,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Marina East,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Marina South,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Marine Parade,,3900,5900,300,200,0,17500,3500,900,700,0,,,,700
2015,Museum,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Newton,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Novena,,3900,4800,300,100,100,19500,2700,900,700,200,,,,800
2015,Orchard,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Outram,,3200,1600,200,0,100,7700,1500,200,600,0,,,,1400
2015,Pasir Ris,,9600,13700,800,0,300,55000,25800,1800,3000,400,,,,1800
2015,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Pioneer,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Punggol,,8600,7300,500,200,100,46900,8200,2400,2200,300,,,,2100
2015,Queenstown,,12200,10300,800,100,400,37300,7200,2700,3000,200,,,,3900
2015,River Valley,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Rochor,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Seletar,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Sembawang,,8300,3700,300,100,0,32800,8700,2100,3000,200,,,,1500
2015,Sengkang,,22300,11800,1200,100,200,98300,18400,3700,7700,1100,,,,4500
2015,Serangoon,,12600,13400,600,100,200,59400,8300,1900,4800,0,,,,3100
2015,Simpang,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Singapore River,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Southern Islands,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Straits View,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Tampines,,25600,18200,3600,300,200,103100,52000,5300,5700,500,,,,5900
2015,Tanglin,,600,4200,0,100,0,5700,800,1100,0,0,,,,100
2015,Tengah,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Toa Payoh,,18600,12500,1000,100,400,50600,7600,1800,4300,300,,,,4500
2015,Tuas,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Western Islands,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,,,,0
2015,Woodlands,,32000,15600,4300,400,500,76000,41800,2900,10100,1000,,,,3900
2015,Yishun,,28000,12100,2700,100,500,74700,27100,3400,9900,1000,,,,5800
2020,Ang Mo Kio,,25827,16464,1368,339,496,65590,9678,2060,5580,204,5592,835,,7054
2020,Bedok,,29765,29023,4302,386,322,105756,35186,6177,4274,616,6986,569,,7165
2020,Bishan,,7945,11916,346,96,99,41085,4244,1404,2610,103,2714,309,,1691
2020,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Bukit Batok,,16761,13621,2418,86,386,62281,19337,3590,6268,400,5903,789,,3719
2020,Bukit Merah,,20668,13984,1938,311,784,60047,9150,2832,5216,272,3531,775,,5842
2020,Bukit Panjang,,16146,10600,1647,143,241,57077,17411,2102,4088,262,3648,569,,3526
2020,Bukit Timah,,3074,12529,72,41,45,35822,2626,2490,649,51,2071,76,,554
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Choa Chu Kang,,19414,14065,2701,204,426,75151,29086,3586,8168,477,6558,1022,,3407
2020,Clementi,,10029,9096,1202,141,278,38909,7809,1853,2282,154,2802,334,,2468
2020,Downtown Core,,176,475,0,8,0,1424,157,208,10,4,91,0,,13
2020,Geylang,,15951,9511,1455,262,334,42303,11870,2009,2385,296,3359,264,,4446
2020,Hougang,,28718,20860,1565,382,572,97503,18114,2525,7825,410,5896,640,,6239
2020,Jurong East,,10809,6260,1516,93,274,27955,10095,1390,3593,235,2898,344,,2313
2020,Jurong West,,32921,16135,4230,639,802,93658,37037,4204,10141,793,12441,1326,,6756
2020,Kallang,,14858,10123,1030,241,531,37734,5654,3497,4410,217,2648,472,,4299
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Marine Parade,,3444,6931,418,113,29,17949,3404,1899,534,67,1059,158,,843
2020,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Novena,,4028,6500,153,94,162,20416,2224,1462,1122,50,1291,185,,1046
2020,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Outram,,3374,1516,162,19,90,6595,1147,268,431,57,454,44,,1106
2020,Pasir Ris,,9350,14560,1474,128,164,60686,27902,3185,2582,211,3853,462,,1773
2020,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Punggol,,12270,12411,1088,345,146,72323,18652,2823,3258,286,5551,284,,2626
2020,Queenstown,,10761,11302,770,192,317,37407,6447,2075,2072,161,2865,332,,2994
2020,River Valley,,248,1705,6,24,0,3608,461,1134,67,28,357,5,,15
2020,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Sembawang,,10155,7146,1062,77,242,39500,13873,1907,3997,266,5439,493,,1966
2020,Sengkang,,23238,17650,1693,351,407,107922,22659,5205,8157,361,8461,669,,3753
2020,Serangoon,,12163,15186,431,80,399,53961,6456,1544,4449,196,3083,571,,2395
2020,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Tampines,,24607,21796,4438,202,304,96446,50578,4732,4964,325,6208,496,,5744
2020,Tanglin,,507,4101,4,49,3,7642,746,1637,133,69,597,20,,87
2020,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Toa Payoh,,15197,13727,777,226,304,50217,8219,1795,2900,251,4250,297,,4354
2020,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,,0
2020,Woodlands,,25949,14244,4417,279,718,78857,51470,3410,10359,724,13029,1845,,4623
2020,Yishun,,27020,14729,2945,383,559,77754,32512,3502,9452,493,7942,1235,,5785
