Year,Planning Area,,below_sgd_1000,no_working_person,sgd_10000_over,sgd_10000_to_10999,sgd_1000_to_1999,sgd_11000_to_11999,sgd_12000_to_12999,sgd_13000_to_13999,sgd_14000_to_14999,sgd_15000_to_17499,sgd_17500_to_19999,sgd_20000_over,sgd_2000_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,total
2010,Bishan,,595,2855,10264,,1166,,,,,,,,1390,1717,1616,1594,1684,1622,,1380,1573,27457
2010,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Bukit Batok,,1136,3452,13088,,2849,,,,,,,,3486,3723,3537,3264,3024,2480,,2172,1922,44133
2010,Bukit Merah,,4142,10311,10685,,5324,,,,,,,,4495,3767,3679,3602,2918,2553,,2342,1809,55627
2010,Bukit Panjang,,846,2260,9320,,2324,,,,,,,,3092,3261,3250,3069,2618,2453,,2223,1623,36339
2010,Bukit Timah,,344,2612,12639,,340,,,,,,,,528,569,761,602,625,467,,610,561,20658
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Changi,,25,31,147,,37,,,,,,,,59,84,139,94,60,21,,42,38,778
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,846,2356,12899,,2463,,,,,,,,3491,4099,4213,3911,3926,3583,,3288,2839,47912
2010,Clementi,,1239,4321,8344,,2098,,,,,,,,2488,2319,2074,2251,1859,1520,,1155,1124,30792
2010,Downtown Core,,40,198,346,,112,,,,,,,,110,98,85,103,110,95,,84,47,1429
2010,Geylang,,2425,6097,7881,,3980,,,,,,,,3774,3563,3103,2760,2352,1781,,1424,1146,40285
2010,Hougang,,1749,5058,14850,,4899,,,,,,,,5714,5905,5223,5084,4501,3487,,3118,2697,62285
2010,Jurong East,,814,2470,6143,,1639,,,,,,,,2303,2350,2277,2166,1824,1663,,1449,1195,26292
2010,Jurong West,,2157,5400,15434,,5174,,,,,,,,7286,8217,7557,6606,6526,5553,,4520,3653,78083
2010,Kallang,,2588,6429,7117,,3460,,,,,,,,2957,2721,2356,2021,1726,1550,,1337,1213,35474
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Mandai,,0,74,248,,19,,,,,,,,0,13,0,32,13,31,,53,6,489
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,525,3029,5671,,813,,,,,,,,906,910,728,692,677,449,,694,403,15498
2010,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Newton,,28,441,1152,,34,,,,,,,,59,72,71,77,102,51,,64,25,2175
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Novena,,559,2194,5404,,1138,,,,,,,,1009,1046,815,784,667,636,,533,423,15207
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Outram,,1076,2009,861,,928,,,,,,,,557,513,407,312,293,180,,154,98,7388
2010,Pasir Ris,,449,1694,12364,,1416,,,,,,,,1992,2667,2832,2931,2971,2567,,2350,1825,36057
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Punggol,,175,806,5415,,690,,,,,,,,1090,1371,1527,1579,1674,1339,,1348,1030,18043
2010,Queenstown,,1753,6642,7856,,2832,,,,,,,,2733,2601,2061,2174,1789,1525,,1330,1068,34365
2010,River Valley,,6,387,1618,,26,,,,,,,,131,96,117,74,77,92,,66,57,2748
2010,Rochor,,253,888,1012,,378,,,,,,,,429,512,464,386,273,252,,203,203,5257
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Sembawang,,317,829,5370,,839,,,,,,,,1547,1795,1996,2072,1885,1525,,1390,1047,20613
2010,Sengkang,,558,1800,13040,,2333,,,,,,,,3488,4025,4005,4421,4026,3831,,3428,2832,47787
2010,Serangoon,,863,3669,12484,,1853,,,,,,,,2299,2448,2626,2533,2152,1690,,1822,1548,35986
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Singapore River,,19,117,472,,0,,,,,,,,9,25,24,37,29,19,,34,12,798
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Tampines,,1812,5294,18454,,4646,,,,,,,,5922,6302,6235,6142,5625,5011,,4418,3729,73591
2010,Tanglin,,84,737,3546,,63,,,,,,,,122,138,155,165,129,121,,214,114,5588
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,2894,7132,8456,,3914,,,,,,,,3850,3425,3052,2501,2254,2056,,1924,1518,42977
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Woodlands,,1779,4249,12467,,5266,,,,,,,,6722,6898,7096,6192,5640,4566,,4242,3162,68279
2010,Yishun,,1534,4367,9620,,4817,,,,,,,,5820,5294,5295,4745,3850,3267,,2738,2229,53576
2015,Ang Mo Kio,,2100,8700,,2500,5400,1800,1600,1200,1700,2200,2000,6100,4400,3900,4000,3800,2900,3300,,2600,2300,62600
2015,Bedok,,2200,10000,,2700,7200,3000,3300,2600,2000,4200,3500,15100,4100,5300,5300,6200,5200,3200,,4400,2900,92200
2015,Bishan,,500,2600,,900,1300,1400,1200,1200,900,1300,1800,5500,1100,900,1300,1000,1100,1000,,1700,1000,27800
2015,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Bukit Batok,,600,4600,,2000,2400,1800,1700,1000,1600,2100,1400,5300,2400,2600,2700,2100,3100,2300,,2400,1800,44000
2015,Bukit Merah,,2100,10800,,1700,6100,1400,1600,1400,1700,2300,1600,5400,3600,2700,2700,2100,2200,2300,,1600,1800,55200
2015,Bukit Panjang,,500,2300,,2300,1700,1500,1800,1800,1200,2200,1600,4400,2200,2300,2400,2400,2900,2900,,2500,2400,41200
2015,Bukit Timah,,300,2900,,900,700,400,700,400,500,1200,1900,10600,400,400,200,300,300,700,,700,200,23900
2015,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Changi,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Choa Chu Kang,,600,2400,,2500,2000,2300,1600,2100,2000,3700,2000,4300,3100,2900,2800,3000,2800,2600,,3300,3200,49300
2015,Clementi,,800,3900,,1100,1900,1000,800,700,700,1700,1100,4500,1600,1600,1700,1700,1700,1200,,1500,1200,30100
2015,Downtown Core,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Geylang,,1200,4900,,1900,2700,1100,700,700,1000,2000,1200,3300,2800,2700,2300,1900,2000,1500,,2200,1400,37500
2015,Hougang,,1400,5400,,2700,3100,2300,2300,1900,1300,3100,2800,7200,4300,4400,4100,3600,4200,3700,,3800,2800,64300
2015,Jurong East,,200,2800,,1200,1000,900,1200,400,500,1400,800,2600,2000,1600,1700,1500,1500,1600,,1100,1400,25500
2015,Jurong West,,1200,5600,,3400,4800,4100,3200,3600,1800,4200,2600,6000,4200,5100,5400,4600,5600,6000,,5400,5000,81600
2015,Kallang,,1200,4800,,1600,2800,1500,1300,1100,600,1000,900,4600,2500,2600,1800,1600,2200,1600,,1600,1200,36500
2015,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Mandai,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Marine Parade,,300,2700,,400,700,500,500,300,300,600,500,3600,800,700,600,600,700,400,,300,600,15200
2015,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Newton,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Novena,,100,1900,,800,800,300,600,500,200,700,800,4300,700,500,700,900,700,500,,500,400,15700
2015,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Outram,,400,1200,,400,1100,200,200,100,0,300,300,900,800,400,400,500,400,300,,300,200,8400
2015,Pasir Ris,,300,2200,,2300,1500,2200,2300,1000,1700,2700,1700,5700,1300,1700,1600,2700,2300,2300,,2200,2900,40600
2015,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Punggol,,600,1700,,2100,900,1700,2000,1800,1700,3000,2100,1700,1600,1400,1700,1700,2000,1800,,1700,2100,33200
2015,Queenstown,,800,6600,,1200,2500,1100,1200,800,1000,1000,900,4000,2400,1800,2200,1700,1900,1700,,1500,1300,35500
2015,River Valley,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Rochor,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Sembawang,,100,700,,1600,500,1200,900,1000,800,1800,1000,1900,1100,1200,1200,2000,1500,1600,,1700,1400,23100
2015,Sengkang,,600,2200,,3200,2500,3400,3400,2300,2100,4500,2700,6000,3900,3200,4100,3900,4100,4800,,4000,3900,64600
2015,Serangoon,,600,4500,,1200,1500,1500,1300,1300,700,2400,1500,8300,1500,1600,1900,2200,1700,1800,,1800,1700,39000
2015,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Singapore River,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Tampines,,1400,5300,,4200,3400,3600,2800,2500,3000,4600,3800,7600,4100,4700,5200,4900,5000,4900,,4200,4800,79900
2015,Tanglin,,100,1000,,100,100,100,200,0,200,400,0,3600,200,200,300,100,200,200,,300,100,7000
2015,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Toa Payoh,,1600,6000,,1200,3800,1100,800,1100,800,2100,1300,4700,3100,2600,2800,1900,2300,1900,,1700,2300,43100
2015,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Woodlands,,1100,4500,,3400,3500,2300,2600,2000,2100,3300,2400,3800,5100,3700,6200,5500,5500,4900,,4500,4200,70400
2015,Yishun,,900,4900,,2700,3900,2800,1900,1700,1200,2700,1900,3400,4800,4300,4500,4600,4200,4000,,4900,3600,62900
2020,Ang Mo Kio,,1563,11455,0,1947,4228,1795,1363,1425,1156,2661,1841,6466,3572,4020,3381,3134,2943,2672,0,2210,2386,60218
2020,Bedok,,2203,16818,0,3291,5278,2685,2620,2564,1838,4080,3349,17125,5245,5521,4641,5102,3868,4229,0,3455,3641,97553
2020,Bishan,,508,4412,0,903,983,983,900,854,805,1801,1589,6864,910,1252,996,1225,1307,1078,0,1060,1014,29444
2020,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2020,Bukit Batok,,847,5983,0,2003,3328,2187,1504,1640,1475,2963,2037,7142,3031,3136,3200,3206,2713,2731,0,2813,2359,54298
2020,Bukit Merah,,1899,12444,0,2012,4583,1748,1536,1337,1360,3129,2025,7748,3478,3465,2339,2557,2173,2255,0,1826,1787,59701
2020,Bukit Panjang,,665,4389,0,1746,1665,1656,1710,1110,1146,2583,1891,5359,2411,2561,2495,2635,2552,2450,0,2544,2011,43579
2020,Bukit Timah,,294,3846,0,617,364,553,482,445,471,1249,1102,11174,455,356,474,559,485,623,0,575,488,24612
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,904,4463,0,2833,2054,2619,2115,2074,2167,4026,2924,6563,2776,2884,3058,3335,3337,3499,0,3311,3082,58024
2020,Clementi,,804,5990,0,1199,1656,993,906,941,702,1761,1341,6013,1508,1558,1410,1626,1556,1315,0,1231,1099,33609
2020,Downtown Core,,21,175,0,53,22,47,53,42,16,102,70,632,32,25,47,48,45,20,0,49,47,1546
2020,Geylang,,1030,6991,0,1561,2826,1397,1057,954,912,1755,1334,4917,2860,2661,2383,2385,2127,1635,0,1622,1654,42061
2020,Hougang,,1475,8503,0,3067,4008,2344,2534,2497,2119,3973,3048,9562,4473,4275,4054,4157,3956,3450,0,4098,3518,75111
2020,Jurong East,,550,4256,0,997,1642,922,818,706,559,1416,988,2602,1309,1761,1636,1718,1615,1422,0,1188,1109,27214
2020,Jurong West,,1399,8069,0,4077,4460,3456,3257,3037,2512,5049,3007,6910,4060,4636,5286,5308,5368,4806,0,4739,4441,83877
2020,Kallang,,1355,8433,0,1394,3127,1112,1205,917,768,1833,1452,5442,2379,2051,1925,1769,1554,1436,0,1325,1357,40834
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marine Parade,,339,3552,0,468,683,426,366,304,253,773,661,4770,652,736,595,510,500,460,0,573,449,17070
2020,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Novena,,397,2848,0,551,792,497,417,389,310,840,704,5010,851,772,726,721,580,581,0,743,554,18283
2020,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Outram,,393,2194,0,205,813,146,218,145,150,326,211,868,504,392,283,336,201,245,0,210,213,8053
2020,Pasir Ris,,587,3702,0,2230,1198,2017,2104,1608,1643,3415,2434,7885,1408,1691,1768,2318,2078,2281,0,1994,2438,44799
2020,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Punggol,,877,3531,0,2952,2397,2623,2474,2252,1764,4089,2858,6077,2418,3108,3060,2987,2975,3280,0,3317,3127,56166
2020,Queenstown,,774,7776,0,1143,2408,916,1174,933,787,2083,1571,5460,1708,1924,1682,1515,1355,1304,0,1277,1264,37054
2020,River Valley,,27,574,0,74,80,92,79,59,85,195,197,1860,75,102,54,80,90,92,0,87,75,3977
2020,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sembawang,,586,2716,0,1645,1395,1397,1237,1310,1190,1866,1511,2847,1695,2066,1979,2090,1931,1925,0,1882,1783,33051
2020,Sengkang,,1276,5621,0,3915,3166,3803,3016,3177,2811,6068,3905,8762,3556,4024,4310,4318,4693,4431,0,4164,4359,79375
2020,Serangoon,,496,5318,0,1379,1444,1255,1019,1052,1008,2038,1795,8616,1629,1464,1425,1786,1568,1803,0,1521,1470,38086
2020,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tampines,,1389,9631,0,3947,4043,3380,2975,2903,2311,5373,3672,9644,3892,4610,4472,4592,4362,4646,0,3802,4038,83682
2020,Tanglin,,71,1210,0,186,84,129,154,146,102,356,397,3977,104,132,127,191,109,155,0,185,122,7937
2020,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Toa Payoh,,1296,10015,0,1484,2987,1400,1202,863,912,2236,1569,6064,2376,2603,2504,2089,2072,1791,0,2004,1413,46880
2020,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Woodlands,,1293,7133,0,3379,3913,3239,2861,2903,2152,4524,2669,5064,4488,5132,5032,5584,5249,5025,0,4606,4596,78842
2020,Yishun,,1551,8698,0,3458,4455,3040,2324,2349,1883,3689,2429,5399,4912,4869,4935,5056,4736,4224,0,3894,3501,75402
