Year,Planning Area,,condominiums_and_other_apartments,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,landed_properties,others,total,total_hdb
2010,Serangoon,,12860,340,12410,38110,24270,34600,1240,124780,76080
2010,Simpang,,0,0,0,0,0,0,0,0,0
2010,Singapore River,,1830,0,0,0,0,0,170,2000,0
2010,Southern Islands,,360,0,0,0,0,260,10,640,0
2010,Straits View,,0,0,0,0,0,0,0,0,0
2010,Sungei Kadut,,0,0,0,0,0,670,210,880,0
2010,Tampines,,19730,1020,36370,107810,90800,4690,1330,261740,236000
2010,Tanglin,,12020,0,40,250,280,4340,360,17290,580
2010,Tengah,,0,0,0,0,0,0,0,10,0
2010,Toa Payoh,,5190,10850,41980,31900,23270,5800,1870,124650,111800
2010,Tuas,,0,0,0,0,0,0,0,60,0
2010,Western Islands,,0,0,0,0,0,0,0,10,0
2010,Western Water Catchment,,0,0,0,0,0,0,1040,1040,0
2010,Woodlands,,8960,3160,17590,106950,107070,540,840,245110,234770
2010,Yishun,,5360,690,39380,92830,41190,4970,800,185210,174080
2015,Ang Mo Kio,,11920,12650,63750,46090,22620,16410,1330,174770,145110
2015,Bedok,,48690,9640,62060,72370,48990,45160,2840,289750,193060
2015,Bishan,,14210,1170,5430,31480,27050,10770,580,90700,65130
2015,Boon Lay,,0,0,0,0,0,0,0,30,0
2015,Bukit Batok,,24570,1290,28030,50180,28740,5620,840,139270,108240
2015,Bukit Merah,,9100,25790,40210,46780,31780,520,1670,155840,144550
2015,Bukit Panjang,,15610,2250,9860,57590,50300,3220,200,139030,120000
2015,Bukit Timah,,33920,0,1080,2820,3650,32040,950,74470,7550
2015,Central Water Catchment,,0,0,0,0,0,0,0,10,0
2015,Changi,,50,0,450,0,10,410,1620,2530,460
2015,Changi Bay,,0,0,0,0,0,0,0,0,0
2015,Choa Chu Kang,,15500,3840,5300,74970,71760,2550,420,174330,155870
2015,Clementi,,14030,2740,28970,26530,12180,5800,1390,91630,70420
2015,Downtown Core,,1050,0,1190,1010,20,0,450,3720,2220
2015,Geylang,,17940,10290,30910,32380,16600,6600,2240,116960,90190
2015,Hougang,,21630,4260,26730,87490,55450,22610,4160,222310,173930
2015,Jurong East,,6930,2120,18500,28080,28950,0,400,84980,77650
2015,Jurong West,,12270,7110,35750,106470,106320,4400,350,272660,255650
2015,Kallang,,16740,12660,27750,25330,15590,1500,1650,101210,81330
2015,Lim Chu Kang,,0,0,0,0,0,0,0,90,0
2015,Mandai,,1240,0,0,0,0,780,90,2120,0
2015,Marina East,,0,0,0,0,0,0,0,0,0
2015,Marina South,,0,0,0,0,0,0,0,0,0
2015,Marine Parade,,17000,3740,6910,5360,5690,9490,550,48730,21690
2015,Museum,,350,0,0,0,0,0,20,380,0
2015,Newton,,6130,0,0,0,0,550,240,6920,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0,60,0
2015,Novena,,17650,2220,7890,6700,5090,7320,1120,47990,21890
2015,Orchard,,830,0,0,0,0,0,90,920,0
2015,Outram,,1820,6480,5600,5350,2270,0,570,22080,19690
2015,Pasir Ris,,23420,1200,520,41280,65330,7480,660,139890,108330
2015,Paya Lebar,,0,0,0,0,0,0,0,40,0
2015,Pioneer,,0,0,0,0,0,0,0,100,0
2015,Punggol,,3480,4660,6530,48970,45590,280,250,109750,105740
2015,Queenstown,,11140,9070,34190,24290,14320,3740,1300,98050,81870
2015,River Valley,,8310,0,0,0,0,770,120,9190,0
2015,Rochor,,2010,820,4980,4770,800,150,1060,14590,11370
2015,Seletar,,0,0,0,0,0,250,20,270,0
2015,Sembawang,,2170,1760,930,29150,38170,3770,580,76530,70010
2015,Sengkang,,11340,5430,7320,88840,91690,1570,490,206680,193280
2015,Serangoon,,13600,1060,11140,35320,22890,35530,1130,120670,70420
2015,Simpang,,0,0,0,0,0,0,0,0,0
2015,Singapore River,,2560,0,0,0,0,0,170,2720,0
2015,Southern Islands,,890,0,0,0,0,550,40,1480,0
2015,Straits View,,0,0,0,0,0,0,0,0,0
2015,Sungei Kadut,,0,0,0,0,0,660,190,850,0
2015,Tampines,,23540,4820,35290,103340,88400,4630,1220,261230,231850
2015,Tanglin,,14020,0,40,210,270,4160,300,19000,520
2015,Tengah,,0,0,0,0,0,0,0,10,0
2015,Toa Payoh,,8340,11520,38300,31270,25010,5870,1690,124940,109040
2015,Tuas,,0,0,0,0,0,0,0,70,0
2015,Western Islands,,0,0,0,0,0,0,0,0,0
2015,Western Water Catchment,,0,0,0,0,0,0,900,900,0
2015,Woodlands,,10070,7080,19040,106880,105570,620,1030,250290,238570
2015,Yishun,,8970,4130,39960,99030,43660,5290,950,201970,186770
2020,Ang Mo Kio,,13980,10720,55910,43030,21370,15880,1390,162280,131020
2020,Bedok,,54850,9630,54710,66310,44970,43870,2650,276990,175620
2020,Bishan,,16880,1140,4920,28160,25130,10390,700,87320,59350
2020,Boon Lay,,0,0,0,0,0,0,0,40,0
2020,Bukit Batok,,26500,6050,28300,56090,34310,5760,1030,158030,124750
2020,Bukit Merah,,14160,21550,35250,48210,30040,460,1600,151250,135050
2020,Bukit Panjang,,19050,2400,9840,55310,48290,3190,190,138270,115840
2020,Bukit Timah,,37100,190,900,2510,3430,32790,940,77860,7030
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0
2020,Changi,,10,0,360,0,10,340,1140,1850,360
2020,Changi Bay,,0,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,23370,4900,6980,79580,74260,2410,570,192070,165710
2020,Clementi,,17640,2490,25880,26430,12610,5730,1210,91990,67410
2020,Downtown Core,,2290,0,0,610,0,0,290,3190,610
2020,Geylang,,19640,8470,27320,31210,15130,6370,1970,110110,82130
2020,Hougang,,29940,6000,26430,85640,53020,22250,4280,227560,171090
2020,Jurong East,,6910,2200,17510,25440,25790,0,750,78600,70940
2020,Jurong West,,17390,8220,32530,99630,99920,4270,780,262730,240300
2020,Kallang,,19090,11370,25430,27890,14490,1380,1640,101290,79180
2020,Lim Chu Kang,,0,0,0,0,0,0,110,110,0
2020,Mandai,,1300,0,0,0,0,730,60,2090,0
2020,Marina East,,0,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0,0
2020,Marine Parade,,17070,3270,6140,4730,5330,9250,430,46220,19470
2020,Museum,,490,0,0,0,0,0,20,510,0
2020,Newton,,7440,0,0,0,0,580,240,8260,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,50,0
2020,Novena,,19010,1630,7660,7940,4540,7760,790,49330,21780
2020,Orchard,,830,0,0,0,0,0,90,920,0
2020,Outram,,840,5290,4920,4760,2050,10,470,18340,17020
2020,Pasir Ris,,36780,1420,890,38800,61510,7110,610,147110,102620
2020,Paya Lebar,,0,0,0,0,0,0,0,40,0
2020,Pioneer,,0,0,0,0,0,0,0,80,0
2020,Punggol,,22330,9290,14540,70500,57240,310,250,174450,151570
2020,Queenstown,,11910,7670,29740,27570,14060,3540,1460,95930,79040
2020,River Valley,,9290,0,0,0,0,700,80,10070,0
2020,Rochor,,2300,710,4380,4130,740,140,710,13120,9960
2020,Seletar,,0,0,0,0,0,280,20,300,0
2020,Sembawang,,10860,6840,4490,36860,38890,3880,820,102640,87080
2020,Sengkang,,31780,8150,11090,99800,96230,1530,790,249370,215280
2020,Serangoon,,16310,1520,9850,31510,21010,35760,930,116900,63890
2020,Simpang,,0,0,0,0,0,0,0,0,0
2020,Singapore River,,3110,0,0,0,0,0,150,3260,0
2020,Southern Islands,,1280,0,0,0,0,640,20,1940,0
2020,Straits View,,0,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,670,80,750,0
2020,Tampines,,27770,7040,34340,99780,85220,4480,1270,259900,226370
2020,Tanglin,,16790,0,30,190,250,4350,190,21810,470
2020,Tengah,,0,0,0,0,0,0,0,10,0
2020,Toa Payoh,,14580,9600,34990,32040,23600,5660,1370,121850,100230
2020,Tuas,,0,0,0,0,0,0,0,70,0
2020,Western Islands,,0,0,0,0,0,0,0,10,0
2020,Western Water Catchment,,0,0,0,0,0,0,640,640,0
2020,Woodlands,,17400,10710,19690,103960,101610,700,1060,255130,235970
2020,Yishun,,19670,8910,40200,99740,46450,5710,940,221610,195300
