Year,Planning Area,,bus,car,lorry_pickup,motorcycle_scooter,mrt,mrt_bus,mrt_car,mrt_lrt_and_bus,mrt_lrt_only,mrt_other,no_transport_required,other_combi_mrt_lrt_or_bus,other_combi_mrt_or_bus,others,pvt_chartered_bus,pvt_chartered_bus_van,taxi,taxi_pvt_hire_car_only
2010,Bukit Batok,,9225,4083,50,157,1945,4397,86,0,0,98,7831,0,0,1830,3415,0,33,0
2010,Bukit Merah,,7759,1770,45,69,1527,3705,31,0,0,54,4402,0,0,814,2640,0,37,0
2010,Bukit Panjang,,8351,3236,75,153,19,1690,20,0,0,1091,9490,0,0,4435,2719,0,56,0
2010,Bukit Timah,,3670,5427,20,6,0,828,69,0,0,0,1967,0,0,1327,2116,0,91,0
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,
2010,Changi,,193,123,0,25,12,31,0,0,0,0,0,0,0,26,94,0,25,0
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,8008,3399,161,222,4296,8129,132,0,0,504,15121,0,0,3233,3301,0,31,0
2010,Clementi,,4813,2077,43,76,588,1715,19,0,0,29,3195,0,0,833,2078,0,33,0
2010,Downtown Core,,114,50,0,0,31,89,0,0,0,0,69,0,0,14,67,0,0,0
2010,Geylang,,6341,2316,80,145,1599,3384,37,0,0,25,4457,0,0,926,2042,0,41,0
2010,Hougang,,16115,5449,182,176,1820,6361,126,0,0,101,11250,0,0,2175,4051,0,175,0
2010,Jurong East,,6163,1447,31,91,899,2364,43,0,0,12,3694,0,0,886,2010,0,19,0
2010,Jurong West,,15293,4207,160,294,3484,9353,84,0,0,58,18619,0,0,2315,5713,0,97,0
2010,Kallang,,4242,2000,76,62,1492,2223,58,0,0,26,2678,0,0,575,2027,0,50,0
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,
2010,Mandai,,99,68,0,0,0,81,6,0,0,0,26,0,0,19,25,0,0,0
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,2438,1716,8,13,19,826,78,0,0,0,1624,0,0,491,1213,0,19,0
2010,Museum,No Data,,,,,,,,,,,,,,,,,,
2010,Newton,,102,425,0,0,35,75,0,0,0,0,140,0,0,39,274,0,0,0
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,
2010,Novena,,2354,1661,26,6,225,1053,43,0,0,0,1016,0,0,497,1246,0,14,0
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,
2010,Outram,,546,112,0,12,377,418,0,0,0,0,183,0,0,26,152,0,0,0
2010,Pasir Ris,,10020,4696,12,113,1298,6039,113,0,0,43,11212,0,0,1746,2626,0,83,0
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,
2010,Punggol,,2034,1680,75,44,457,886,21,0,0,155,4317,0,0,933,1093,0,19,0
2010,Queenstown,,4713,2070,50,44,927,2255,58,0,0,13,3194,0,0,898,1678,0,39,0
2010,River Valley,,244,454,0,0,6,139,25,0,0,0,197,0,0,84,399,0,6,0
2010,Rochor,,743,101,19,31,221,323,7,0,0,8,378,0,0,95,176,0,6,0
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,
2010,Sembawang,,1874,1423,25,44,2368,2596,52,0,0,25,6289,0,0,574,998,0,38,0
2010,Sengkang,,7730,3356,122,94,1794,3389,25,0,0,370,11974,0,0,3906,3730,0,75,0
2010,Serangoon,,6831,5148,64,108,1512,4322,99,0,0,78,3931,0,0,1610,2717,0,51,0
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,
2010,Singapore River,,44,36,0,0,0,29,0,0,0,0,35,0,0,14,50,0,0,0
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,
2010,Tampines,,17597,5166,173,435,2849,8604,98,0,0,97,16423,0,0,3219,5732,0,162,0
2010,Tanglin,,453,1176,0,0,0,118,12,0,0,0,398,0,0,215,546,0,19,0
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,6296,2243,63,115,1551,3583,50,0,0,43,5090,0,0,960,1996,0,37,0
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,
2010,Woodlands,,13242,3782,274,304,5387,9887,149,0,0,75,22646,0,0,2029,3996,0,138,0
2010,Yishun,,7942,2718,99,227,3904,6790,97,0,0,100,12701,0,0,1557,2235,0,70,0
2015,Ang Mo Kio,,8500,3300,0,0,1800,5200,0,0,0,0,9200,0,1100,300,2400,0,0,0
2015,Bedok,,15800,7500,0,0,2900,9700,0,0,0,0,10400,0,1600,800,5500,0,0,0
2015,Bishan,,2400,2900,0,0,1400,4700,0,0,0,0,2300,0,600,0,3000,0,0,0
2015,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bukit Batok,,7000,2500,0,0,2500,6300,0,0,0,0,6600,0,1200,500,2400,0,0,0
2015,Bukit Merah,,6400,2900,0,0,1200,5500,0,0,0,0,4200,0,900,100,2300,0,0,0
2015,Bukit Panjang,,8700,3200,0,0,900,2900,0,0,0,0,8200,0,3900,1300,1800,0,0,0
2015,Bukit Timah,,2500,5400,0,0,200,1800,0,0,0,0,1600,0,1300,0,2500,0,0,0
2015,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Choa Chu Kang,,6400,2200,0,0,4200,11600,0,0,0,0,10900,0,2800,400,3000,0,0,0
2015,Clementi,,4000,2000,0,0,700,1700,0,0,0,0,2300,0,500,100,2300,0,0,0
2015,Downtown Core,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Geylang,,4600,1300,0,0,1200,4500,0,0,0,0,3700,0,600,100,2200,0,0,0
2015,Hougang,,11800,4900,0,0,2200,9800,0,0,0,0,9300,0,2100,200,3200,0,0,0
2015,Jurong East,,4100,1000,0,0,500,3000,0,0,0,0,3300,0,1100,0,1700,0,0,0
2015,Jurong West,,15800,3300,0,0,3200,12800,0,0,0,0,17500,0,2900,900,4000,0,0,0
2015,Kallang,,3200,1900,0,0,1600,3600,0,0,0,0,2500,0,200,200,1900,0,0,0
2015,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marine Parade,,1600,1600,0,0,0,1300,0,0,0,0,1400,0,200,0,1100,0,0,0
2015,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Novena,,2000,1800,0,0,400,1200,0,0,0,0,1000,0,400,0,1000,0,0,0
2015,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Outram,,500,100,0,0,500,200,0,0,0,0,900,0,100,0,300,0,0,0
2015,Pasir Ris,,8600,3700,0,0,1400,9200,0,0,0,0,8400,0,900,600,2300,0,0,0
2015,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Punggol,,3200,2400,0,0,900,2500,0,0,0,0,6900,0,1900,300,1500,0,0,0
2015,Queenstown,,3700,1600,0,0,1600,3200,0,0,0,0,2400,0,500,100,1400,0,0,0
2015,River Valley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sembawang,,1800,1700,0,0,2400,4500,0,0,0,0,6000,0,200,100,1100,0,0,0
2015,Sengkang,,11300,5400,0,0,2500,6100,0,0,0,0,15100,0,4700,1400,3100,0,0,0
2015,Serangoon,,4500,4100,0,0,1900,5900,0,0,0,0,3100,0,800,200,1700,0,0,0
2015,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Tampines,,15100,4400,0,0,2800,11700,0,0,0,0,11700,0,1100,1400,4000,0,0,0
2015,Tanglin,,300,1200,0,0,0,200,0,0,0,0,500,0,0,200,900,0,0,0
2015,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Toa Payoh,,5000,2400,0,0,1200,5200,0,0,0,0,4100,0,900,100,1700,0,0,0
2015,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Woodlands,,11900,3500,0,0,4600,13800,0,0,0,0,18000,0,800,700,2900,0,0,0
2015,Yishun,,6800,2900,0,0,3300,8900,0,0,0,0,11400,0,600,600,2000,0,0,0
2020,Ang Mo Kio,,6740,3095,27,111,0,0,0,5523,1426,0,5535,260,0,221,0,1527,0,95
2020,Bedok,,9837,8128,0,63,0,0,0,9419,2484,0,8299,791,0,596,0,3615,0,434
2020,Bishan,,2837,3073,37,19,0,0,0,4010,1345,0,2771,174,0,54,0,931,0,118
2020,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bukit Batok,,7312,3444,120,100,0,0,0,6463,1891,0,5566,341,0,93,0,1800,0,141
2020,Bukit Merah,,5321,2867,0,80,0,0,0,4885,1765,0,4303,306,0,56,0,2221,0,213
2020,Bukit Panjang,,6340,3159,46,129,0,0,0,5458,1863,0,6659,2080,0,143,0,1342,0,102
2020,Bukit Timah,,2547,5697,0,7,0,0,0,2383,998,0,2672,155,0,141,0,1872,0,227
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,6500,3119,77,335,0,0,0,11826,3090,0,9361,1817,0,170,0,1982,0,201
2020,Clementi,,4368,2990,16,52,0,0,0,2909,568,0,3054,228,0,72,0,1363,0,128
2020,Downtown Core,,33,25,5,0,0,0,0,54,52,0,39,0,0,0,0,16,0,0
2020,Geylang,,3640,1916,10,87,0,0,0,3926,1897,0,3164,186,0,139,0,1059,0,84
2020,Hougang,,9819,4888,51,153,0,0,0,9269,1777,0,7841,538,0,336,0,1612,0,292
2020,Jurong East,,4174,1168,23,68,0,0,0,3384,519,0,2083,105,0,58,0,724,0,53
2020,Jurong West,,13306,5166,74,351,0,0,0,12893,2565,0,13449,875,0,493,0,2211,0,161
2020,Kallang,,2482,1678,0,0,0,0,0,3785,1712,0,2599,107,0,99,0,1515,0,113
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marine Parade,,1940,1937,4,0,0,0,0,1159,229,0,1701,68,0,76,0,927,0,117
2020,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Novena,,1679,2354,5,0,0,0,0,1486,263,0,1419,62,0,44,0,1047,0,107
2020,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Outram,,389,236,5,5,0,0,0,472,311,0,567,16,0,10,0,245,0,14
2020,Pasir Ris,,6691,4399,10,166,0,0,0,8418,1157,0,5830,438,0,220,0,1569,0,170
2020,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Punggol,,6066,4992,85,136,0,0,0,4844,2521,0,12879,3502,0,259,0,1623,0,165
2020,Queenstown,,3338,2091,9,9,0,0,0,2789,1351,0,3104,121,0,140,0,1161,0,119
2020,River Valley,,180,564,0,0,0,0,0,334,63,0,281,11,0,32,0,447,0,41
2020,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sembawang,,2941,2239,36,104,0,0,0,5734,2933,0,5642,282,0,144,0,871,0,80
2020,Sengkang,,11197,5855,83,192,0,0,0,8472,3760,0,16950,3683,0,487,0,2506,0,273
2020,Serangoon,,3423,4014,0,53,0,0,0,5248,1515,0,2690,284,0,94,0,1350,0,184
2020,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tampines,,11416,4644,74,288,0,0,0,9549,2897,0,9591,822,0,500,0,3205,0,190
2020,Tanglin,,451,1487,0,3,0,0,0,397,179,0,685,26,0,43,0,728,0,85
2020,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Toa Payoh,,4215,2466,20,100,0,0,0,4661,1724,0,4203,147,0,153,0,1080,0,191
2020,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Woodlands,,9383,3428,99,255,0,0,0,14689,4143,0,14819,778,0,305,0,1457,0,309
2020,Yishun,,7903,4109,47,244,0,0,0,9630,2837,0,10444,466,0,756,0,1519,0,200
