Year,Planning Area,,below_sgd_1000,sgd_10000_to_10999,sgd_1000_to_1499,sgd_1000_to_1999,sgd_11000_to_11999,sgd_12000_14999,sgd_12000_over,sgd_15000_over,sgd_1500_to_1999,sgd_2000_to_2499,sgd_2000_to_2999,sgd_2500_to_2999,sgd_3000_to_3999,sgd_4000_to_4999,sgd_5000_to_5999,sgd_6000_over,sgd_6000_to_6999,sgd_7000_to_7999,sgd_8000_over,sgd_8000_to_8999,sgd_9000_to_9999,total
2000,Geylang,,7147,,8318,0,,0,,0,7651,6620,0,4923,7497,3481,2160,4517,,,,,,52314
2000,Hougang,,9543,,13091,0,,0,,0,14353,12723,0,9503,14091,6945,4275,9467,,,,,,93991
2000,Jurong East,,4117,,5776,0,,0,,0,6302,6090,0,4613,6776,3361,1912,3856,,,,,,42804
2000,Jurong West,,8922,,13806,0,,0,,0,15328,14508,0,11229,15283,7375,3773,5258,,,,,,95482
2000,Kallang,,6584,,6793,0,,0,,0,6482,5277,0,3811,5380,2912,1547,3719,,,,,,42506
2000,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Mandai,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Marine Parade,,1676,,1763,0,,0,,0,1671,1838,0,1450,2715,1681,1319,4966,,,,,,19078
2000,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Newton,,76,,62,0,,0,,0,93,163,0,75,344,203,182,1216,,,,,,2414
2000,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Novena,,1766,,1883,0,,0,,0,2036,1937,0,1360,2876,1685,1311,4745,,,,,,19599
2000,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Outram,,2561,,1901,0,,0,,0,1537,1172,0,789,1269,494,352,541,,,,,,10616
2000,Pasir Ris,,2565,,4321,0,,0,,0,5155,6142,0,5920,9622,5654,3820,7640,,,,,,50838
2000,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Punggol,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Queenstown,,5477,,6287,0,,0,,0,6062,5404,0,4070,6475,3653,2040,5117,,,,,,44585
2000,River Valley,,154,,110,0,,0,,0,183,229,0,257,487,431,308,1742,,,,,,3902
2000,Rochor,,1131,,1336,0,,0,,0,1209,992,0,702,1016,491,297,483,,,,,,7658
2000,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Sembawang,,951,,1563,0,,0,,0,1720,1754,0,1227,1981,1034,591,843,,,,,,11663
2000,Sengkang,,1761,,2954,0,,0,,0,3494,3865,0,2881,4134,1929,1141,1412,,,,,,23571
2000,Serangoon,,4572,,6021,0,,0,,0,6440,6257,0,5339,8632,4948,3277,11623,,,,,,57110
2000,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Singapore River,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Tampines,,9038,,13201,0,,0,,0,15919,15637,0,12182,18616,9461,5612,10549,,,,,,110216
2000,Tanglin,,225,,166,0,,0,,0,146,330,0,190,610,421,363,3262,,,,,,5712
2000,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Toa Payoh,,6672,,7922,0,,0,,0,7940,6784,0,5057,8208,4093,2607,4799,,,,,,54082
2000,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2000,Woodlands,,8453,,13439,0,,0,,0,14769,13636,0,10468,14231,6208,3583,4617,,,,,,89406
2000,Yishun,,8608,,12801,0,,0,,0,12682,11678,0,8279,12051,5962,3344,5303,,,,,,80707
2010,Ang Mo Kio,,12288,,9085,0,,0,,0,8986,8850,0,7268,12491,8186,6040,,4185,2724,10967,,,91070
2010,Bedok,,17582,,13131,0,,0,,0,13185,13403,0,10797,19091,12647,10048,,7684,4912,25187,,,147667
2010,Bishan,,4283,,2967,0,,0,,0,3239,3487,0,2966,5914,4651,3832,,2892,2405,9987,,,46623
2010,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Bukit Batok,,7604,,6520,0,,0,,0,6001,7170,0,5665,10458,7530,5374,,3963,2668,12050,,,75001
2010,Bukit Merah,,11884,,8178,0,,0,,0,6569,7040,0,5438,9560,7610,5964,,3820,3152,9232,,,78447
2010,Bukit Panjang,,7457,,6177,0,,0,,0,6021,6268,0,5555,9670,6581,5143,,3262,2267,7605,,,66005
2010,Bukit Timah,,1875,,999,0,,0,,0,765,1264,0,1085,2501,2293,2133,,1898,1784,15961,,,32557
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Changi,,123,,103,0,,0,,0,59,65,0,59,114,329,157,,57,30,83,,,1180
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,8586,,6920,0,,0,,0,7293,8085,0,7315,13485,9934,7314,,5033,3463,10112,,,87543
2010,Clementi,,4982,,3465,0,,0,,0,3366,4113,0,3503,5917,4716,3574,,2518,1831,8017,,,46003
2010,Downtown Core,,223,,170,0,,0,,0,187,95,0,111,257,188,125,,147,72,395,,,1970
2010,Geylang,,8518,,6710,0,,0,,0,6324,5824,0,5246,8376,5592,4027,,2546,1929,6422,,,61514
2010,Hougang,,13476,,10904,0,,0,,0,10694,11210,0,9084,15528,10729,7496,,5252,3593,12626,,,110594
2010,Jurong East,,5206,,4025,0,,0,,0,4044,4476,0,3948,6734,4389,3415,,2237,1634,4838,,,44946
2010,Jurong West,,15601,,12625,0,,0,,0,13057,15217,0,12885,22082,15387,10327,,6763,4099,10231,,,138273
2010,Kallang,,7651,,5157,0,,0,,0,4759,4560,0,3761,6185,4268,2993,,2239,1543,6906,,,50022
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Mandai,,69,,53,0,,0,,0,19,25,0,25,106,39,64,,51,120,230,,,801
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,1940,,1248,0,,0,,0,1099,1441,0,1125,2216,1813,1553,,1292,891,6587,,,21204
2010,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Newton,,149,,77,0,,0,,0,57,144,0,71,203,167,135,,148,89,1437,,,2677
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Novena,,2262,,1689,0,,0,,0,1545,1677,0,1369,2491,1836,1705,,1159,820,6120,,,22673
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Outram,,2105,,1034,0,,0,,0,778,777,0,539,932,555,460,,348,143,770,,,8441
2010,Pasir Ris,,5596,,4362,0,,0,,0,5193,5465,0,5273,9449,7292,5606,,4134,2861,10760,,,65991
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Punggol,,1979,,1883,0,,0,,0,2304,2640,0,2555,5003,3971,3250,,2273,1644,4102,,,31603
2010,Queenstown,,5710,,4254,0,,0,,0,3477,3948,0,2987,5836,4385,3220,,2600,1818,8073,,,46307
2010,River Valley,,129,,75,0,,0,,0,93,159,0,190,308,271,298,,249,147,2037,,,3956
2010,Rochor,,950,,770,0,,0,,0,683,825,0,623,1099,791,504,,345,241,858,,,7690
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Sembawang,,3381,,2899,0,,0,,0,3347,3496,0,3226,6073,4546,3509,,2146,1643,3683,,,37948
2010,Sengkang,,7501,,6695,0,,0,,0,7274,8422,0,6933,13515,10326,7734,,5865,3949,9833,,,88047
2010,Serangoon,,6381,,4769,0,,0,,0,4292,4882,0,4515,8147,5755,4632,,3444,2572,12934,,,62322
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Singapore River,,41,,0,0,,0,,0,0,15,0,20,45,43,72,,52,50,562,,,900
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Tampines,,14180,,12057,0,,0,,0,11534,13252,0,11525,19380,13511,9446,,6743,4568,14853,,,131051
2010,Tanglin,,343,,122,0,,0,,0,124,218,0,276,614,542,599,,355,252,4581,,,8025
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,8776,,5956,0,,0,,0,5396,5762,0,4745,8767,5968,4325,,2825,2130,7475,,,62125
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2010,Woodlands,,13616,,12090,0,,0,,0,13356,14055,0,11385,18991,12570,8264,,5643,3472,8145,,,121587
2010,Yishun,,11485,,10715,0,,0,,0,10648,10374,0,8790,13619,9033,5965,,3828,2565,6872,,,93894
2015,Ang Mo Kio,,9700,2600,12100,0,1700,0,8600,0,7900,7400,0,6800,11500,9800,7900,,6000,4000,,3100,2200,101200
2015,Bedok,,12200,4500,13600,0,2700,0,19400,0,12100,9700,0,9600,17200,13400,12200,,9200,5400,,5100,4000,150300
2015,Bishan,,3900,1800,3700,0,1600,0,7600,0,2200,2900,0,2400,4600,4700,3800,,2700,2800,,3100,1800,49500
2015,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Bukit Batok,,6100,2500,6500,0,1500,0,7400,0,5200,5800,0,4900,8600,7600,6700,,4400,3500,,2600,2400,75600
2015,Bukit Merah,,8500,2200,9200,0,1500,0,8000,0,6900,6600,0,4400,8300,7000,5500,,4700,4200,,3000,2100,82200
2015,Bukit Panjang,,5100,2000,6500,0,1000,0,6100,0,5200,6300,0,6500,10500,8300,7200,,5500,3800,,3400,2600,80100
2015,Bukit Timah,,2100,2200,1400,0,1100,0,13700,0,1200,1200,0,700,2100,2000,2900,,1300,1900,,1600,1500,36800
2015,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Changi,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Choa Chu Kang,,7300,2200,7800,0,1300,0,6500,0,6300,7500,0,6500,14500,10600,8000,,5900,5400,,5000,2600,97200
2015,Clementi,,3800,1700,3600,0,1000,0,6100,0,2400,2300,0,2600,5000,4300,3600,,3100,3200,,1700,1800,45900
2015,Downtown Core,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Geylang,,6500,1500,5900,0,1000,0,4900,0,4400,5300,0,3500,7800,5700,4400,,3500,2400,,2400,2000,61400
2015,Hougang,,10100,3200,10800,0,1900,0,9200,0,8200,10400,0,7700,17000,11800,11100,,7400,5000,,4100,2800,120800
2015,Jurong East,,4300,1200,4100,0,500,0,3400,0,3300,3600,0,3800,5200,5400,3600,,2800,2200,,1700,1000,46100
2015,Jurong West,,13400,3000,13800,0,1800,0,7700,0,11600,12300,0,11100,22800,19300,13600,,8700,9600,,5800,4000,158700
2015,Kallang,,4300,1300,5800,0,900,0,6600,0,3900,4800,0,3100,7100,4800,3800,,3500,2100,,1600,1700,55400
2015,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Mandai,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Marine Parade,,1600,700,1200,0,500,0,4800,0,1400,900,0,1000,2300,1800,1600,,1100,1000,,1000,700,21500
2015,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Newton,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Novena,,1500,900,2100,0,600,0,5800,0,1400,1100,0,900,2200,1900,1600,,1400,900,,600,700,23800
2015,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Outram,,900,400,1900,0,200,0,1200,0,800,700,0,700,1200,900,900,,800,300,,500,100,11700
2015,Pasir Ris,,7000,2100,4400,0,1500,0,7900,0,4400,5700,0,4300,9900,9000,6600,,5500,3400,,3300,2900,78000
2015,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Punggol,,3600,1700,3200,0,1500,0,4600,0,2800,3000,0,3500,7100,6200,6100,,5500,4900,,3800,2800,60400
2015,Queenstown,,4100,1500,4200,0,1100,0,5800,0,3500,3200,0,3100,4800,4800,3800,,3200,2300,,2000,1600,49200
2015,River Valley,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Rochor,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Sembawang,,3200,1400,3600,0,700,0,2300,0,3000,4100,0,2600,6600,4400,4500,,3700,3200,,2200,1700,47300
2015,Sengkang,,7500,4000,7900,0,2300,0,9300,0,7700,9900,0,8000,16400,14200,11100,,8800,7400,,6200,3700,124300
2015,Serangoon,,4600,1900,5900,0,1700,0,10700,0,3900,4400,0,3200,8700,6500,6100,,3800,2800,,2200,1800,68200
2015,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Singapore River,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Tampines,,13000,3700,12700,0,2600,0,11600,0,10500,11700,0,10300,20600,16900,12800,,10100,7100,,5600,3400,152800
2015,Tanglin,,600,300,100,0,100,0,4800,0,0,300,0,100,400,800,300,,200,500,,400,100,9000
2015,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Toa Payoh,,6300,1900,6300,0,1400,0,6100,0,5000,5200,0,4900,8400,7100,5400,,3600,2900,,2500,1900,68900
2015,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,
2015,Woodlands,,10900,2200,11900,0,1000,0,4800,0,12300,13000,0,11000,18200,14900,11400,,9300,6100,,4900,3000,134800
2015,Yishun,,10300,2200,13100,0,1300,0,4500,0,10300,10200,0,9000,18000,12300,10300,,5800,4600,,4600,2800,119300
2020,Ang Mo Kio,,6306,2637,0,14367,1905,3237,0,6309,0,0,10414,0,10210,8320,7022,0,5489,4291,0,3392,2598,86497
2020,Bedok,,10917,4301,0,19697,4067,7528,0,16726,0,0,17730,0,16491,12361,11162,0,7552,5855,0,5985,4842,145214
2020,Bishan,,2910,1835,0,4713,1525,3253,0,6458,0,0,3635,0,4386,4276,3930,0,3308,2651,0,2692,1890,47462
2020,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bukit Batok,,5589,2636,0,12060,2145,4288,0,6088,0,0,11316,0,11626,9087,7371,0,5860,5152,0,4041,3221,90480
2020,Bukit Merah,,5897,2806,0,11943,2318,4404,0,7522,0,0,8123,0,7825,6249,6411,0,4718,4132,0,3552,2802,78702
2020,Bukit Panjang,,5526,2085,0,10420,1905,2994,0,4340,0,0,9520,0,10562,8405,7140,0,4572,4177,0,3446,2398,77490
2020,Bukit Timah,,1779,1803,0,1979,1334,2661,0,12626,0,0,1660,0,2073,2116,2467,0,1695,1774,0,1677,1359,37003
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,7809,3255,0,13627,2618,3802,0,4766,0,0,14344,0,14563,13038,10682,0,7598,6128,0,5104,3787,111121
2020,Clementi,,2962,1925,0,5558,1422,3153,0,5764,0,0,4702,0,4203,3911,3848,0,3182,2648,0,2293,2038,47609
2020,Downtown Core,,86,77,0,61,62,174,0,707,0,0,133,0,73,129,124,0,75,75,0,96,88,1960
2020,Geylang,,4374,1953,0,9738,1407,2836,0,4653,0,0,8060,0,7549,5681,4562,0,3488,2561,0,2191,2007,61060
2020,Hougang,,9273,3577,0,18531,2873,5396,0,7902,0,0,15877,0,16688,12827,10695,0,7873,5989,0,5649,4091,127241
2020,Jurong East,,2817,1125,0,6424,843,1465,0,2018,0,0,5593,0,5364,4532,3688,0,2577,2393,0,1711,1374,41924
2020,Jurong West,,10288,3428,0,20539,2323,4617,0,5326,0,0,20398,0,21789,17754,14433,0,10063,7255,0,6010,4563,148786
2020,Kallang,,4055,2141,0,8341,1213,2828,0,5483,0,0,6262,0,5652,4849,4168,0,2989,2753,0,2169,2016,54919
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marine Parade,,1336,976,0,1867,728,1473,0,5250,0,0,1868,0,1956,1507,1558,0,1108,817,0,823,861,22128
2020,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Novena,,1468,1032,0,2621,594,1529,0,5514,0,0,2165,0,2100,1852,1799,0,1239,1138,0,1250,867,25168
2020,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Outram,,833,401,0,1656,245,566,0,847,0,0,1111,0,769,711,643,0,378,429,0,374,306,9269
2020,Pasir Ris,,5604,3184,0,8239,2385,4308,0,6743,0,0,9396,0,10370,8790,7826,0,5773,4549,0,3966,3592,84725
2020,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Punggol,,5146,3765,0,9897,2587,5218,0,4558,0,0,9542,0,11021,10337,9577,0,7009,6845,0,5632,4402,95536
2020,Queenstown,,3010,1731,0,6385,1403,3292,0,5440,0,0,5076,0,4551,4081,3796,0,2883,2388,0,2367,1896,48299
2020,River Valley,,208,183,0,224,177,337,0,2272,0,0,229,0,272,260,342,0,219,270,0,231,148,5372
2020,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sembawang,,3791,1754,0,6653,1435,2237,0,2161,0,0,7743,0,8024,6915,5857,0,4614,3438,0,2850,2037,59509
2020,Sengkang,,8651,5482,0,17230,3875,6995,0,6648,0,0,15393,0,16130,15469,12751,0,11198,8471,0,7626,5497,141416
2020,Serangoon,,3740,2490,0,7518,1674,3627,0,8149,0,0,6247,0,6299,5600,5431,0,3878,3426,0,3052,2427,63558
2020,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tampines,,10239,4045,0,19330,3474,5856,0,7842,0,0,17248,0,19714,16078,12917,0,8953,7887,0,6103,4864,144550
2020,Tanglin,,344,501,0,335,326,809,0,4399,0,0,383,0,487,383,612,0,387,427,0,487,325,10205
2020,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Toa Payoh,,4623,2030,0,8866,1689,3180,0,5156,0,0,7074,0,7174,5873,4725,0,4335,3212,0,2964,2652,63553
2020,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Woodlands,,10550,2660,0,20131,2353,3944,0,2794,0,0,21026,0,19704,16449,12758,0,9353,6842,0,5611,4529,138704
2020,Yishun,,7834,2973,0,17867,2222,3320,0,4025,0,0,18736,0,16675,13441,11615,0,8184,6424,0,5009,3872,122197
