Year,Planning Area,,no_family_nucleus,ofn_1_gen,ofn_2_gen,ofn_3_more_gen,tfn_1to2_gen,tfn_3_more_gen,three_more_fam_nucleus
2015,Geylang,,9700,5300,18900,2000,,,
2015,Hougang,,8500,7500,40600,3400,,,
2015,Jurong East,,4600,3200,14500,1600,,,
2015,Jurong West,,9500,10300,50900,4700,,,
2015,Kallang,,10700,5500,17500,1300,,,
2015,Lim Chu Kang,,0,0,0,0,,,
2015,Mandai,,0,0,0,0,,,
2015,Marina East,,0,0,0,0,,,
2015,Marina South,,0,0,0,0,,,
2015,Marine Parade,,3200,2700,7800,600,,,
2015,Museum,,0,0,0,0,,,
2015,Newton,,0,0,0,0,,,
2015,North-Eastern Islands,,0,0,0,0,,,
2015,Novena,,3100,2500,8900,700,,,
2015,Orchard,,0,0,0,0,,,
2015,Outram,,3300,1300,3400,200,,,
2015,Pasir Ris,,4200,4700,25900,3300,,,
2015,Paya Lebar,,0,0,0,0,,,
2015,Pioneer,,0,0,0,0,,,
2015,Punggol,,2500,5900,21200,1800,,,
2015,Queenstown,,10600,4800,17100,1700,,,
2015,River Valley,,0,0,0,0,,,
2015,Rochor,,0,0,0,0,,,
2015,Seletar,,0,0,0,0,,,
2015,Sembawang,,1800,3100,15400,1300,,,
2015,Sengkang,,4200,10400,42000,4100,,,
2015,Serangoon,,6100,4500,23300,2400,,,
2015,Simpang,,0,0,0,0,,,
2015,Singapore River,,0,0,0,0,,,
2015,Southern Islands,,0,0,0,0,,,
2015,Straits View,,0,0,0,0,,,
2015,Sungei Kadut,,0,0,0,0,,,
2015,Tampines,,11700,9600,48200,4700,,,
2015,Tanglin,,1600,1400,3400,300,,,
2015,Tengah,,0,0,0,0,,,
2015,Toa Payoh,,11100,7100,21000,2100,,,
2015,Tuas,,0,0,0,0,,,
2015,Western Islands,,0,0,0,0,,,
2015,Western Water Catchment,,0,0,0,0,,,
2015,Woodlands,,8700,9500,42000,4700,,,
2015,Yishun,,9800,9200,35300,3800,,,
2020,Ang Mo Kio,,17570,9155,27722,3080,578,2060,54
2020,Bedok,,24964,14879,46928,5189,1156,4142,294
2020,Bishan,,6289,4382,15588,1582,250,1292,63
2020,Boon Lay,,0,0,0,0,0,0,0
2020,Bukit Batok,,11040,8815,29501,2547,532,1742,119
2020,Bukit Merah,,19906,9663,25650,2354,496,1559,72
2020,Bukit Panjang,,6824,6049,25750,2234,627,2018,78
2020,Bukit Timah,,3984,3687,13794,1356,246,1438,108
2020,Central Water Catchment,,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0
2020,Choa Chu Kang,,7081,7972,35574,3806,973,2519,99
2020,Clementi,,8963,5194,16470,1424,320,1197,41
2020,Downtown Core,,807,298,385,9,16,32,0
2020,Geylang,,14059,6268,17881,1895,330,1495,132
2020,Hougang,,15268,11161,40156,4082,1075,3144,223
2020,Jurong East,,6171,4469,13594,1402,329,1182,67
2020,Jurong West,,15145,12509,45993,4914,1423,3674,221
2020,Kallang,,14446,6689,16528,1647,326,1176,21
2020,Lim Chu Kang,,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0
2020,Marine Parade,,4768,2579,7954,923,171,621,53
2020,Museum,,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0
2020,Novena,,5003,2940,8726,843,120,583,65
2020,Orchard,,0,0,0,0,0,0,0
2020,Outram,,3605,1227,2714,251,48,194,14
2020,Pasir Ris,,6448,6006,26324,3000,843,1998,180
2020,Paya Lebar,,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0
2020,Punggol,,7069,9839,32832,3531,522,2311,61
2020,Queenstown,,11632,6339,16310,1617,196,930,28
2020,River Valley,,1194,728,1793,105,17,134,5
2020,Rochor,,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0
2020,Sembawang,,5513,5365,17911,2185,483,1493,100
2020,Sengkang,,11107,12053,46691,5138,816,3446,124
2020,Serangoon,,7817,5584,19498,2331,600,2114,143
2020,Simpang,,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0
2020,Tampines,,14991,12649,45002,5474,1333,3981,250
2020,Tanglin,,1880,1488,3887,284,81,277,42
2020,Tengah,,0,0,0,0,0,0,0
2020,Toa Payoh,,15327,7013,19995,2565,443,1503,33
2020,Tuas,,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0
2020,Woodlands,,13270,10292,44462,5314,1422,3966,113
2020,Yishun,,15545,11621,39819,4294,949,3017,158
