Year,Planning Area,,buddhism,catholic_christian,hinduism,islam,no_religion,other_christians,other_religions,sikhism,taoism
2015,Mandai,,0,0,0,0,0,0,0,0,0
2015,Marina East,,0,0,0,0,0,0,0,0,0
2015,Marina South,,0,0,0,0,0,0,0,0,0
2015,Marine Parade,,8300,4700,1700,3200,9000,6500,200,500,1700
2015,Museum,,0,0,0,0,0,0,0,0,0
2015,Newton,,0,0,0,0,0,0,0,0,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0,0,0
2015,Novena,,11500,3700,1300,2600,8800,6700,0,200,2400
2015,Orchard,,0,0,0,0,0,0,0,0,0
2015,Outram,,5900,800,600,1900,4100,2100,0,200,1700
2015,Pasir Ris,,32900,8700,4800,25900,21600,17700,300,300,7300
2015,Paya Lebar,,0,0,0,0,0,0,0,0,0
2015,Pioneer,,0,0,0,0,0,0,0,0,0
2015,Punggol,,28600,5500,4100,8500,17800,9600,400,600,7800
2015,Queenstown,,25600,6300,3800,8200,16500,14100,300,100,6800
2015,River Valley,,0,0,0,0,0,0,0,0,0
2015,Rochor,,0,0,0,0,0,0,0,0,0
2015,Seletar,,0,0,0,0,0,0,0,0,0
2015,Sembawang,,22100,3200,2500,8800,13000,9100,200,400,5700
2015,Sengkang,,70800,11600,9900,19200,34300,14600,400,200,16800
2015,Serangoon,,31500,11400,6000,7400,21700,18600,400,400,12100
2015,Simpang,,0,0,0,0,0,0,0,0,0
2015,Singapore River,,0,0,0,0,0,0,0,0,0
2015,Southern Islands,,0,0,0,0,0,0,0,0,0
2015,Straits View,,0,0,0,0,0,0,0,0,0
2015,Sungei Kadut,,0,0,0,0,0,0,0,0,0
2015,Tampines,,71100,13600,8600,54500,37000,25700,300,1300,19700
2015,Tanglin,,2800,2300,1500,300,3200,3700,100,0,500
2015,Tengah,,0,0,0,0,0,0,0,0,0
2015,Toa Payoh,,37200,9900,5400,8200,21700,14700,200,100,10500
2015,Tuas,,0,0,0,0,0,0,0,0,0
2015,Western Islands,,0,0,0,0,0,0,0,0,0
2015,Western Water Catchment,,0,0,0,0,0,0,0,0,0
2015,Woodlands,,68600,7000,12800,46100,28800,18500,300,700,19000
2015,Yishun,,60700,8100,12400,30900,27000,12800,500,100,19800
2020,Ang Mo Kio,,49544,12143,6661,10952,30141,16339,214,342,17279
2020,Bedok,,69927,20874,10321,40660,47193,29299,511,1058,18890
2020,Bishan,,21950,8607,3217,3382,19247,14759,189,146,5304
2020,Boon Lay,,0,0,0,0,0,0,0,0,0
2020,Bukit Batok,,41591,8125,9228,23059,26343,17726,380,377,12344
2020,Bukit Merah,,42224,8167,6308,12248,29934,16675,560,656,11813
2020,Bukit Panjang,,37693,7077,5239,20325,22937,12715,242,365,13519
2020,Bukit Timah,,11103,7950,2063,736,17733,19824,312,227,3015
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,51662,8605,9963,34825,29826,15082,320,319,17284
2020,Clementi,,23091,5608,3398,9033,18417,12695,303,356,6399
2020,Downtown Core,,615,347,77,93,1011,464,4,0,109
2020,Geylang,,32411,5033,2892,15328,20690,10996,180,193,9027
2020,Hougang,,66030,17093,8710,20294,40403,22185,670,967,19523
2020,Jurong East,,21756,2879,4832,12743,12575,6552,145,183,7343
2020,Jurong West,,78615,7769,12143,46353,41074,14345,620,666,24184
2020,Kallang,,28286,6105,7206,8591,18470,9737,329,631,8979
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0,0
2020,Marine Parade,,8532,4426,2718,3243,9103,7791,338,209,2087
2020,Museum,,0,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0,0
2020,Novena,,10574,4598,1822,2114,10338,8072,142,205,2328
2020,Orchard,,0,0,0,0,0,0,0,0,0
2020,Outram,,5138,681,591,1470,4139,1881,63,41,1633
2020,Pasir Ris,,33119,9983,4566,30214,24187,18383,515,491,8777
2020,Paya Lebar,,0,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0,0
2020,Punggol,,45742,9104,4976,20960,28518,14861,356,280,10550
2020,Queenstown,,22997,6802,3496,6785,18942,14755,202,468,5856
2020,River Valley,,1297,1057,863,154,2565,2202,81,27,175
2020,Rochor,,0,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0,0
2020,Sembawang,,29545,4815,4710,15532,17136,8349,234,219,7412
2020,Sengkang,,72229,14123,10715,26557,43436,20258,450,639,17591
2020,Serangoon,,30157,11557,6233,5316,22647,17399,266,340,9363
2020,Simpang,,0,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0,0
2020,Tampines,,64965,13594,8351,59177,36837,24778,488,703,18089
2020,Tanglin,,2550,2680,1102,423,4654,4567,131,92,539
2020,Tengah,,0,0,0,0,0,0,0,0,0
2020,Toa Payoh,,34920,9929,3807,8521,23483,14250,364,245,9271
2020,Tuas,,0,0,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0,0,0
2020,Woodlands,,66744,9868,13535,60365,32251,14900,612,683,15988
2020,Yishun,,62216,10364,11466,38022,32049,15567,318,767,17681
