Year,Planning Area,,condominiums_and_other_apartments,hdb_1_and_2_room_flats,hdb_3_room_flats,hdb_4_room_flats,hdb_5_room_and_executive_flats,landed_properties,others,total_hdb
2010,Novena,,5343,746,3167,2163,1523,2099,166,7599
2010,Orchard,No Data,,,,,,,,
2010,Outram,,986,3391,2301,550,73,0,67,6334
2010,Pasir Ris,,5134,25,0,11526,17424,1949,0,28975
2010,Paya Lebar,No Data,,,,,,,,
2010,Pioneer,No Data,,,,,,,,
2010,Punggol,,0,0,0,5914,12085,44,0,17999
2010,Queenstown,,3974,3821,15117,6515,3799,1005,133,29252
2010,River Valley,,2536,0,0,0,0,198,13,0
2010,Rochor,,816,335,1983,1606,214,84,218,4138
2010,Seletar,No Data,,,,,,,,
2010,Sembawang,,579,0,0,8046,11248,702,37,19295
2010,Sengkang,,2106,69,244,19796,25156,416,0,45265
2010,Serangoon,,4290,176,4662,10974,6502,9111,130,22455
2010,Simpang,No Data,,,,,,,,
2010,Singapore River,,798,0,0,0,0,0,0,0
2010,Southern Islands,No Data,,,,,,,,
2010,Straits View,No Data,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,
2010,Tampines,,6697,426,12921,29194,22957,1216,180,65498
2010,Tanglin,,4498,0,24,62,71,840,92,157
2010,Tengah,No Data,,,,,,,,
2010,Toa Payoh,,1608,5204,16377,9931,6598,1756,285,39327
2010,Tuas,No Data,,,,,,,,
2010,Western Islands,No Data,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,
2010,Woodlands,,3281,1485,5918,29621,27756,141,77,64780
2010,Yishun,,1963,263,13846,25550,10596,1221,137,50255
2015,Ang Mo Kio,,5000,5600,25500,14800,6500,4900,300,52400
2015,Bedok,,19300,4000,21800,21000,13600,12300,300,60400
2015,Bishan,,4900,500,2000,9800,7300,3200,100,19700
2015,Boon Lay,No Data,,,,,,,,
2015,Bukit Batok,,8900,700,9800,15000,8000,1500,200,33500
2015,Bukit Merah,,3600,12000,15900,14300,9100,100,200,51300
2015,Bukit Panjang,,5600,900,3500,15600,14300,1300,0,34300
2015,Bukit Timah,,11900,0,500,900,900,9400,300,2300
2015,Central Water Catchment,No Data,,,,,,,,
2015,Changi,No Data,,,,,,,,
2015,Changi Bay,No Data,,,,,,,,
2015,Choa Chu Kang,,5000,1600,1600,21000,19200,900,100,43400
2015,Clementi,,5100,1200,10500,8500,3000,1600,200,23200
2015,Downtown Core,No Data,,,,,,,,
2015,Geylang,,6300,4500,10500,9800,4600,1300,400,29400
2015,Hougang,,7700,1500,9600,25300,14000,6100,100,50400
2015,Jurong East,,2500,1000,6200,8000,7600,0,100,22900
2015,Jurong West,,4900,2900,12500,31100,29200,1000,0,75700
2015,Kallang,,7800,5700,9900,8000,4500,200,400,28100
2015,Lim Chu Kang,No Data,,,,,,,,
2015,Mandai,No Data,,,,,,,,
2015,Marina East,No Data,,,,,,,,
2015,Marina South,No Data,,,,,,,,
2015,Marine Parade,,5900,1400,2800,1700,1300,2000,100,7300
2015,Museum,No Data,,,,,,,,
2015,Newton,No Data,,,,,,,,
2015,North-Eastern Islands,No Data,,,,,,,,
2015,Novena,,6900,900,2800,2200,1100,1800,100,7000
2015,Orchard,No Data,,,,,,,,
2015,Outram,,800,2500,2600,1700,900,0,0,7600
2015,Pasir Ris,,7700,700,100,12200,18200,1600,100,31200
2015,Paya Lebar,No Data,,,,,,,,
2015,Pioneer,No Data,,,,,,,,
2015,Punggol,,1400,1800,1900,14700,13400,0,0,31800
2015,Queenstown,,4500,3600,14400,7900,4000,1100,100,29900
2015,River Valley,No Data,,,,,,,,
2015,Rochor,No Data,,,,,,,,
2015,Seletar,No Data,,,,,,,,
2015,Sembawang,,1000,500,300,9300,10900,1100,0,21100
2015,Sengkang,,4500,1800,2200,28000,27500,500,0,59500
2015,Serangoon,,5300,300,4700,10600,6700,11000,300,22400
2015,Simpang,No Data,,,,,,,,
2015,Singapore River,No Data,,,,,,,,
2015,Southern Islands,No Data,,,,,,,,
2015,Straits View,No Data,,,,,,,,
2015,Sungei Kadut,No Data,,,,,,,,
2015,Tampines,,9000,2500,13600,29400,23700,1300,200,69300
2015,Tanglin,,6200,0,0,0,100,600,0,200
2015,Tengah,No Data,,,,,,,,
2015,Toa Payoh,,3100,4900,15200,10000,6800,1800,500,37700
2015,Tuas,No Data,,,,,,,,
2015,Western Islands,No Data,,,,,,,,
2015,Western Water Catchment,No Data,,,,,,,,
2015,Woodlands,,3400,3200,6900,29900,27000,100,0,67000
2015,Yishun,,3800,2200,13700,29800,11900,1400,200,57500
2020,Ang Mo Kio,,4815,5002,24087,14894,6664,4433,325,50647
2020,Bedok,,20922,5391,22903,22045,14226,11545,519,64565
2020,Bishan,,5786,605,2334,9882,7727,3040,72,20547
2020,Boon Lay,,0,0,0,0,0,0,0,0
2020,Bukit Batok,,9338,3335,11517,18425,10109,1466,106,43387
2020,Bukit Merah,,5429,10995,15708,17382,9790,190,207,53875
2020,Bukit Panjang,,6643,1234,3638,17144,14104,817,0,36120
2020,Bukit Timah,,12827,147,469,850,1027,9163,129,2493
2020,Central Water Catchment,,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,7395,2088,2487,24202,21241,606,5,50018
2020,Clementi,,5988,1117,11461,9298,3943,1614,186,25820
2020,Downtown Core,,1282,0,0,229,0,0,36,229
2020,Geylang,,8880,4174,11708,10424,4665,1864,344,30971
2020,Hougang,,10899,3132,10958,27963,15926,6073,158,57979
2020,Jurong East,,2477,1090,7162,8455,7942,0,86,24649
2020,Jurong West,,5632,3700,12815,31404,29247,1019,61,77166
2020,Kallang,,7709,6907,10940,9674,4736,509,357,32257
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0
2020,Marine Parade,,6334,1387,2946,1826,1833,2603,139,7993
2020,Museum,,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0
2020,Novena,,7641,768,3342,2822,1438,2193,76,8370
2020,Orchard,,0,0,0,0,0,0,0,0
2020,Outram,,420,2889,2356,1735,625,0,27,7605
2020,Pasir Ris,,12814,734,356,11809,17180,1905,0,30080
2020,Paya Lebar,,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0
2020,Punggol,,7061,4364,5404,22277,16990,69,0,49035
2020,Queenstown,,4676,3814,13661,9424,4360,1032,86,31259
2020,River Valley,,3721,0,0,0,0,252,3,0
2020,Rochor,,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0
2020,Sembawang,,3509,3516,1507,11908,11653,943,13,28584
2020,Sengkang,,10823,3950,4043,31507,28680,372,0,68180
2020,Serangoon,,6178,664,4376,10514,6531,9745,78,22085
2020,Simpang,,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0
2020,Tampines,,9543,3215,14313,31182,24136,1211,81,72846
2020,Tanglin,,6493,0,21,79,86,1234,25,187
2020,Tengah,,0,0,0,0,0,0,0,0
2020,Toa Payoh,,5440,4793,16019,11368,7092,1771,397,39272
2020,Tuas,,0,0,0,0,0,0,0,0
2020,Western Islands,,0,0,0,0,0,0,0,0
2020,Western Water Catchment,,0,0,0,0,0,0,0,0
2020,Woodlands,,5592,5299,7367,31978,28321,214,68,72965
2020,Yishun,,6902,4119,16531,32083,14040,1496,232,66773
