Year,Planning Area,,chinese_dialects,chn_dlt_eng,chn_dlt_mand,chn_dlt_oth_lang,eng_chn_dlt,eng_mand,eng_mly,eng_oth_ind_lang,eng_oth_lang,eng_tml,english,malay,mand_chn_dlt,mand_eng,mand_oth_lang,mandarin,mly_eng,mly_oth_lang,oth_ind_lang_eng,oth_ind_lang_oth_lang,oth_lang_eng,oth_lang_oth_non_eng_lang,other_indian_languages,others,tamil,tml_eng,tml_oth_lang
2000,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Tampines,,41078,0,0,0,0,0,0,0,0,0,51087,52930,0,0,0,74217,0,0,0,0,0,0,957,514,3233,0,0
2000,Tanglin,,1501,0,0,0,0,0,0,0,0,0,6817,146,0,0,0,1532,0,0,0,0,0,0,101,289,85,0,0
2000,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Toa Payoh,,32304,0,0,0,0,0,0,0,0,0,23304,8775,0,0,0,34312,0,0,0,0,0,0,566,143,3298,0,0
2000,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2000,Woodlands,,28008,0,0,0,0,0,0,0,0,0,27497,42335,0,0,0,69562,0,0,0,0,0,0,1216,312,6300,0,0
2000,Yishun,,35694,0,0,0,0,0,0,0,0,0,28448,26672,0,0,0,62512,0,0,0,0,0,0,2004,516,7496,0,0
2010,Ang Mo Kio,,32771,0,0,0,0,0,0,0,0,0,46338,10352,0,0,0,61143,0,0,0,0,0,0,1202,1522,6079,0,0
2010,Bedok,,37280,0,0,0,0,0,0,0,0,0,96675,38903,0,0,0,80351,0,0,0,0,0,0,3575,2372,4953,0,0
2010,Bishan,,10709,0,0,0,0,0,0,0,0,0,44620,3225,0,0,0,23841,0,0,0,0,0,0,540,954,2045,0,0
2010,Boon Lay,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Bukit Batok,,15031,0,0,0,0,0,0,0,0,0,41029,17785,0,0,0,49889,0,0,0,0,0,0,2460,2096,5368,0,0
2010,Bukit Merah,,36709,0,0,0,0,0,0,0,0,0,37409,8624,0,0,0,41195,0,0,0,0,0,0,1057,1593,6995,0,0
2010,Bukit Panjang,,14239,0,0,0,0,0,0,0,0,0,33440,17673,0,0,0,51221,0,0,0,0,0,0,1039,1056,2758,0,0
2010,Bukit Timah,,4798,0,0,0,0,0,0,0,0,0,43439,304,0,0,0,11549,0,0,0,0,0,0,312,1422,366,0,0
2010,Central Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Changi,,150,0,0,0,0,0,0,0,0,0,750,514,0,0,0,342,0,0,0,0,0,0,27,0,148,0,0
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,17764,0,0,0,0,0,0,0,0,0,46003,24533,0,0,0,67434,0,0,0,0,0,0,2278,2146,5768,0,0
2010,Clementi,,13486,0,0,0,0,0,0,0,0,0,27571,7988,0,0,0,24284,0,0,0,0,0,0,1014,979,2976,0,0
2010,Downtown Core,,733,0,0,0,0,0,0,0,0,0,759,8,0,0,0,1316,0,0,0,0,0,0,80,70,70,0,0
2010,Geylang,,20707,0,0,0,0,0,0,0,0,0,27447,13969,0,0,0,37123,0,0,0,0,0,0,996,1309,3404,0,0
2010,Hougang,,32805,0,0,0,0,0,0,0,0,0,63388,14566,0,0,0,80880,0,0,0,0,0,0,1795,1438,6038,0,0
2010,Jurong East,,11948,0,0,0,0,0,0,0,0,0,20084,11502,0,0,0,29866,0,0,0,0,0,0,1061,1001,4308,0,0
2010,Jurong West,,29058,0,0,0,0,0,0,0,0,0,49634,41596,0,0,0,108075,0,0,0,0,0,0,3012,3109,11109,0,0
2010,Kallang,,17767,0,0,0,0,0,0,0,0,0,23414,5895,0,0,0,29154,0,0,0,0,0,0,1654,932,4712,0,0
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Mandai,,230,0,0,0,0,0,0,0,0,0,686,43,0,0,0,395,0,0,0,0,0,0,0,0,53,0,0
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,4884,0,0,0,0,0,0,0,0,0,21012,2635,0,0,0,8962,0,0,0,0,0,0,1269,384,506,0,0
2010,Museum,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Newton,,204,0,0,0,0,0,0,0,0,0,3319,64,0,0,0,680,0,0,0,0,0,0,122,363,32,0,0
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Novena,,6638,0,0,0,0,0,0,0,0,0,18953,1430,0,0,0,10244,0,0,0,0,0,0,489,676,1273,0,0
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Outram,,4795,0,0,0,0,0,0,0,0,0,2041,882,0,0,0,4458,0,0,0,0,0,0,16,161,516,0,0
2010,Pasir Ris,,10119,0,0,0,0,0,0,0,0,0,56929,20280,0,0,0,35055,0,0,0,0,0,0,1120,1138,1574,0,0
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Punggol,,5963,0,0,0,0,0,0,0,0,0,19430,4825,0,0,0,21235,0,0,0,0,0,0,1017,364,874,0,0
2010,Queenstown,,16181,0,0,0,0,0,0,0,0,0,30842,6629,0,0,0,23272,0,0,0,0,0,0,931,1221,3217,0,0
2010,River Valley,,657,0,0,0,0,0,0,0,0,0,4484,99,0,0,0,1029,0,0,0,0,0,0,118,313,25,0,0
2010,Rochor,,3147,0,0,0,0,0,0,0,0,0,2816,311,0,0,0,4484,0,0,0,0,0,0,183,55,1413,0,0
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sembawang,,7278,0,0,0,0,0,0,0,0,0,19107,7607,0,0,0,28062,0,0,0,0,0,0,627,1504,2165,0,0
2010,Sengkang,,19906,0,0,0,0,0,0,0,0,0,46112,13992,0,0,0,65613,0,0,0,0,0,0,2730,1081,4270,0,0
2010,Serangoon,,16016,0,0,0,0,0,0,0,0,0,52649,4828,0,0,0,35374,0,0,0,0,0,0,1116,1036,3827,0,0
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Singapore River,,57,0,0,0,0,0,0,0,0,0,776,68,0,0,0,103,0,0,0,0,0,0,0,56,0,0,0
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Tampines,,27721,0,0,0,0,0,0,0,0,0,76645,50345,0,0,0,76917,0,0,0,0,0,0,3189,2321,4090,0,0
2010,Tanglin,,1074,0,0,0,0,0,0,0,0,0,10509,112,0,0,0,1562,0,0,0,0,0,0,165,575,26,0,0
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,22355,0,0,0,0,0,0,0,0,0,36377,7005,0,0,0,37740,0,0,0,0,0,0,575,1007,3728,0,0
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,,,,,,,,,
2010,Woodlands,,19741,0,0,0,0,0,0,0,0,0,50698,51078,0,0,0,90263,0,0,0,0,0,0,2533,1892,9043,0,0
2010,Yishun,,23982,0,0,0,0,0,0,0,0,0,40711,24748,0,0,0,67705,0,0,0,0,0,0,1997,1358,6893,0,0
2015,Ang Mo Kio,,28400,0,0,0,0,0,0,0,0,0,58000,12800,0,0,0,56500,0,0,0,0,0,0,600,1300,6800,0,0
2015,Bedok,,30400,0,0,0,0,0,0,0,0,0,107600,34000,0,0,0,70400,0,0,0,0,0,0,2400,2400,5100,0,0
2015,Bishan,,10300,0,0,0,0,0,0,0,0,0,43800,1700,0,0,0,23100,0,0,0,0,0,0,500,500,2300,0,0
2015,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bukit Batok,,13700,0,0,0,0,0,0,0,0,0,44600,12600,0,0,0,49900,0,0,0,0,0,0,1200,1400,4900,0,0
2015,Bukit Merah,,32400,0,0,0,0,0,0,0,0,0,46800,8100,0,0,0,37100,0,0,0,0,0,0,1300,3100,4600,0,0
2015,Bukit Panjang,,14900,0,0,0,0,0,0,0,0,0,42800,18400,0,0,0,54700,0,0,0,0,0,0,500,800,2300,0,0
2015,Bukit Timah,,5200,0,0,0,0,0,0,0,0,0,47300,300,0,0,0,11300,0,0,0,0,0,0,200,1100,200,0,0
2015,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Choa Chu Kang,,16900,0,0,0,0,0,0,0,0,0,54700,23100,0,0,0,62800,0,0,0,0,0,0,2800,2400,4700,0,0
2015,Clementi,,11600,0,0,0,0,0,0,0,0,0,29200,6600,0,0,0,23600,0,0,0,0,0,0,300,1700,1900,0,0
2015,Downtown Core,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Geylang,,14000,0,0,0,0,0,0,0,0,0,30400,11800,0,0,0,33000,0,0,0,0,0,0,1500,600,2400,0,0
2015,Hougang,,23300,0,0,0,0,0,0,0,0,0,73100,12800,0,0,0,84800,0,0,0,0,0,0,1700,300,4700,0,0
2015,Jurong East,,9400,0,0,0,0,0,0,0,0,0,19200,11600,0,0,0,28100,0,0,0,0,0,0,700,700,5300,0,0
2015,Jurong West,,29200,0,0,0,0,0,0,0,0,0,61700,35100,0,0,0,114000,0,0,0,0,0,0,3200,3500,15800,0,0
2015,Kallang,,14100,0,0,0,0,0,0,0,0,0,28000,4400,0,0,0,28500,0,0,0,0,0,0,2100,800,5500,0,0
2015,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marine Parade,,5100,0,0,0,0,0,0,0,0,0,20500,1500,0,0,0,8900,0,0,0,0,0,0,900,100,600,0,0
2015,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Novena,,5500,0,0,0,0,0,0,0,0,0,21800,1400,0,0,0,9600,0,0,0,0,0,0,300,200,600,0,0
2015,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Outram,,3900,0,0,0,0,0,0,0,0,0,5900,1200,0,0,0,4700,0,0,0,0,0,0,0,100,200,0,0
2015,Pasir Ris,,9100,0,0,0,0,0,0,0,0,0,66900,19900,0,0,0,34200,0,0,0,0,0,0,500,800,2000,0,0
2015,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Punggol,,9500,0,0,0,0,0,0,0,0,0,38600,7800,0,0,0,34300,0,0,0,0,0,0,2300,500,2100,0,0
2015,Queenstown,,14700,0,0,0,0,0,0,0,0,0,31500,6300,0,0,0,22300,0,0,0,0,0,0,900,700,3400,0,0
2015,River Valley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sembawang,,7500,0,0,0,0,0,0,0,0,0,24200,6700,0,0,0,32400,0,0,0,0,0,0,600,600,2300,0,0
2015,Sengkang,,21300,0,0,0,0,0,0,0,0,0,73100,17700,0,0,0,83000,0,0,0,0,0,0,2000,1000,8000,0,0
2015,Serangoon,,12800,0,0,0,0,0,0,0,0,0,59700,4400,0,0,0,33500,0,0,0,0,0,0,1500,500,3200,0,0
2015,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Tampines,,24000,0,0,0,0,0,0,0,0,0,95200,44900,0,0,0,75200,0,0,0,0,0,0,2800,1900,4800,0,0
2015,Tanglin,,1100,0,0,0,0,0,0,0,0,0,12100,400,0,0,0,1100,0,0,0,0,0,0,300,400,0,0,0
2015,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Toa Payoh,,18000,0,0,0,0,0,0,0,0,0,41100,6400,0,0,0,37700,0,0,0,0,0,0,700,800,4200,0,0
2015,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Woodlands,,19400,0,0,0,0,0,0,0,0,0,58600,41300,0,0,0,94000,0,0,0,0,0,0,2700,1500,9300,0,0
2015,Yishun,,21100,0,0,0,0,0,0,0,0,0,51400,25200,0,0,0,75500,0,0,0,0,0,0,2000,1000,7700,0,0
2020,Ang Mo Kio,,6155,2161,9965,720,5503,36610,4148,992,1329,3920,9539,2271,15200,19424,292,12832,4324,112,614,271,608,362,0,0,796,3067,59
2020,Bedok,,7560,3155,10797,824,10488,65469,16270,4778,2498,3281,21410,7811,19206,28120,267,16472,16584,207,1395,316,1148,241,0,0,400,2678,223
2020,Bishan,,1729,1278,3074,485,4638,31664,2233,712,1046,2259,7668,514,5363,8935,80,4086,1154,84,163,123,411,110,0,0,131,1022,57
2020,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Bukit Batok,,2972,1404,6016,480,5416,36459,9555,1824,1394,3813,7657,3497,12365,22282,142,9602,10885,139,924,457,645,473,0,0,770,3980,110
2020,Bukit Merah,,6780,2503,9163,675,5531,36364,3475,1074,1569,3813,8007,2961,10737,15334,87,6869,4065,211,509,63,797,372,0,0,902,3026,144
2020,Bukit Panjang,,2786,1185,5749,354,3086,34770,9066,1050,1109,3487,6491,2786,12674,21327,191,7943,10339,85,521,71,609,146,0,0,365,2315,101
2020,Bukit Timah,,727,1036,1192,109,5594,29593,958,1126,1748,575,13183,107,2066,7374,63,1922,211,36,168,0,771,295,0,0,31,193,15
2020,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Choa Chu Kang,,3204,1505,6726,373,3790,46256,15386,1639,2102,6117,7066,4017,16025,29879,168,11464,17272,104,852,280,927,244,0,0,1061,4292,227
2020,Clementi,,2525,1607,4111,340,3892,25163,3281,674,1153,1404,5608,1844,5977,10740,130,4768,3921,96,507,42,558,213,0,0,343,1551,78
2020,Downtown Core,,26,55,88,0,93,675,87,37,116,14,404,0,81,237,0,127,5,0,13,0,36,0,0,0,0,0,0
2020,Geylang,,3491,1474,5584,438,3062,23100,5113,1069,869,1102,5107,2918,9281,13001,168,7482,6466,113,547,78,434,227,0,0,450,1755,92
2020,Hougang,,5853,2363,10196,636,7643,58411,8175,1524,1268,5382,12200,2794,20840,31768,270,16119,9605,86,503,241,827,286,0,0,889,4205,147
2020,Jurong East,,2073,887,4476,382,2289,14108,4091,907,606,2017,2467,2565,6694,10379,134,5522,6117,95,441,84,410,135,0,0,560,2305,96
2020,Jurong West,,6087,2304,10639,834,3815,48562,17377,2010,2017,6144,8122,8846,23776,41370,552,23544,21689,141,1236,388,1768,633,0,0,1652,7208,196
2020,Kallang,,3341,1364,5661,658,3043,22012,2162,2860,1033,2919,5797,1393,7928,9972,79,5461,2575,57,891,324,520,174,0,0,581,2677,118
2020,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Marine Parade,,774,676,1119,104,2748,13609,1512,1964,773,451,5078,554,1780,3568,72,1954,1301,50,449,72,221,71,0,0,54,317,14
2020,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Novena,,1125,744,1739,177,2569,14350,1240,621,950,756,5610,155,2065,4578,79,2058,684,10,221,61,379,91,0,0,259,698,35
2020,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Outram,,928,231,1289,129,426,3440,664,111,154,234,843,266,1418,1775,16,1005,500,15,46,6,40,28,0,0,80,228,10
2020,Pasir Ris,,1424,1340,3537,373,6111,42988,18579,1810,1835,2397,10350,2588,7581,17060,54,5553,11857,45,616,99,835,149,0,0,315,1146,85
2020,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Punggol,,2502,1482,5071,336,3829,53779,13292,2286,1726,2720,8279,2306,9334,27731,319,8255,8902,94,704,151,481,130,0,0,377,1410,53
2020,Queenstown,,3868,1948,4981,531,4346,22797,3041,980,1301,1394,6957,952,5691,9537,83,4345,2992,65,295,88,440,329,0,0,362,1354,139
2020,River Valley,,27,143,127,11,550,2707,269,755,646,120,1803,6,124,687,42,123,55,0,34,0,201,114,0,0,0,23,0
2020,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sembawang,,1452,907,3919,283,2073,22572,7135,728,1216,3353,4302,1628,8252,18608,125,6911,7838,70,414,146,861,142,0,0,343,1856,113
2020,Sengkang,,4327,2352,8670,731,5634,71585,13760,3041,2745,6180,10765,3469,19762,38460,254,16205,12362,131,1629,361,1156,164,0,0,778,5314,78
2020,Serangoon,,2712,1907,4736,318,6589,36060,3009,850,823,3464,11031,806,8774,13251,137,5367,2221,46,312,66,420,113,0,0,534,2226,60
2020,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2020,Tampines,,4920,2718,10580,1016,7333,56393,24038,3569,1550,3624,13860,8611,18082,31880,324,12843,29686,167,1560,419,828,170,0,0,399,2721,60
2020,Tanglin,,124,270,192,22,1550,6369,424,884,943,167,4235,0,302,1152,64,327,39,23,107,10,477,150,0,0,7,13,6
