Year,Planning Area,,accommodation_food_services,admin_support_services,arts_entertainment_recreation,business_services,construction,financial_insurance_services,health_social_services,hotels_restaurants,information_communications,manufacturing,other_comm_social_personal,other_services_industries,others,professional_services,public_admin_education,real_estate_services,transport_communications,transportation_storage,wholesale_retail_trade
2010,Changi Bay,No Data,,,,,,,,,,,,,,,,,,,
2010,Choa Chu Kang,,4304,4032,1323,0,5098,4541,3530,0,3094,16366,2338,0,1644,5336,12160,1986,0,7604,14184
2010,Clementi,,2516,2228,846,0,1590,3421,2459,0,2066,5610,1247,0,535,3830,7134,1171,0,3714,7635
2010,Downtown Core,,138,85,60,0,33,272,43,0,137,109,52,0,0,218,191,88,0,160,383
2010,Geylang,,5088,3814,1246,0,3767,4278,2369,0,2636,6801,2131,0,743,3690,6910,1503,0,5679,10860
2010,Hougang,,6677,5110,1801,0,6742,7533,4722,0,4640,13508,3803,0,1162,6851,14123,2863,0,10459,20599
2010,Jurong East,,2252,2397,837,0,1926,2450,1654,0,1443,8333,1140,0,584,3217,6008,975,0,4350,7382
2010,Jurong West,,7885,7280,2059,0,7212,5466,4678,0,3843,30871,3225,0,2101,8531,15830,2719,0,13543,23029
2010,Kallang,,4742,3207,915,0,2550,4100,1953,0,2052,4766,1706,0,572,3190,5012,1380,0,4046,9831
2010,Lim Chu Kang,No Data,,,,,,,,,,,,,,,,,,,
2010,Mandai,,19,56,0,0,25,59,19,0,46,161,20,0,7,25,158,6,0,38,163
2010,Marina East,No Data,,,,,,,,,,,,,,,,,,,
2010,Marina South,No Data,,,,,,,,,,,,,,,,,,,
2010,Marine Parade,,998,1036,372,0,574,2833,1079,0,1177,1742,593,0,173,1994,2578,727,0,1490,3840
2010,Museum,No Data,,,,,,,,,,,,,,,,,,,
2010,Newton,,112,91,23,0,61,571,144,0,149,232,62,0,23,366,217,149,0,88,388
2010,North-Eastern Islands,No Data,,,,,,,,,,,,,,,,,,,
2010,Novena,,1375,924,372,0,849,2625,1566,0,1057,1788,753,0,240,2146,2568,774,0,1397,4240
2010,Orchard,No Data,,,,,,,,,,,,,,,,,,,
2010,Outram,,1246,727,171,0,290,634,246,0,253,518,289,0,121,555,673,324,0,722,1672
2010,Pasir Ris,,2921,2753,1181,0,2599,4760,2834,0,3187,8404,1620,0,716,3928,10261,1854,0,9254,9718
2010,Paya Lebar,No Data,,,,,,,,,,,,,,,,,,,
2010,Pioneer,No Data,,,,,,,,,,,,,,,,,,,
2010,Punggol,,1342,1125,489,0,1260,2743,1086,0,2011,3985,963,0,405,2314,4231,860,0,3158,5631
2010,Queenstown,,3158,2606,928,0,1632,3793,2197,0,2410,4466,1385,0,548,3861,6287,1344,0,3933,7760
2010,River Valley,,158,110,51,0,92,833,255,0,161,213,63,0,14,596,477,134,0,175,624
2010,Rochor,,918,421,130,0,320,593,293,0,302,634,297,0,77,557,698,204,0,486,1760
2010,Seletar,No Data,,,,,,,,,,,,,,,,,,,
2010,Sembawang,,2076,1596,592,0,2143,2051,1687,0,1822,6969,1128,0,598,2593,5069,736,0,2773,6116
2010,Sengkang,,4738,3598,1438,0,4611,6756,3573,0,5072,11907,2483,0,934,5547,10947,2302,0,8739,15405
2010,Serangoon,,2828,2524,1014,0,2971,5067,3080,0,2722,7194,1834,0,689,4943,9358,1724,0,4884,11492
2010,Simpang,No Data,,,,,,,,,,,,,,,,,,,
2010,Singapore River,,26,12,14,0,0,220,26,0,76,60,0,0,23,139,61,51,0,6,184
2010,Southern Islands,No Data,,,,,,,,,,,,,,,,,,,
2010,Straits View,No Data,,,,,,,,,,,,,,,,,,,
2010,Sungei Kadut,No Data,,,,,,,,,,,,,,,,,,,
2010,Tampines,,7631,6665,2191,0,5449,10010,5784,0,6253,15250,3640,0,1424,7276,18480,3439,0,17299,20260
2010,Tanglin,,206,177,73,0,120,1757,564,0,343,586,90,0,67,1266,753,331,0,336,1357
2010,Tengah,No Data,,,,,,,,,,,,,,,,,,,
2010,Toa Payoh,,4883,3710,1236,0,2704,4640,3168,0,2724,6632,2278,0,755,4415,7219,1907,0,5092,10763
2010,Tuas,No Data,,,,,,,,,,,,,,,,,,,
2010,Western Islands,No Data,,,,,,,,,,,,,,,,,,,
2010,Western Water Catchment,No Data,,,,,,,,,,,,,,,,,,,
2010,Woodlands,,7706,5973,2339,0,8132,4522,5104,0,3881,23024,3732,0,1851,6943,15672,2597,0,10855,19255
2010,Yishun,,6939,5120,2070,0,6027,4736,4684,0,3260,14217,3142,0,959,5165,11699,2339,0,8730,14805
2015,Ang Mo Kio,,9600,6300,2000,0,5600,7300,5200,0,3800,10200,4400,0,900,6900,12700,2500,0,6800,17000
2015,Bedok,,9900,8000,1700,0,6000,14100,6700,0,6600,13600,4600,0,1300,14300,18200,4200,0,14400,26600
2015,Bishan,,2900,2100,700,0,1800,4700,3200,0,2200,4800,1200,0,400,5900,8200,900,0,2500,8000
2015,Boon Lay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Bukit Batok,,4200,4300,1200,0,4700,4200,3300,0,3100,9100,2100,0,1000,7200,10900,1900,0,6100,12300
2015,Bukit Merah,,7400,6500,1900,0,2700,7700,4700,0,3600,5400,2800,0,600,5400,9300,2600,0,7200,14500
2015,Bukit Panjang,,4200,4300,1300,0,4300,4600,4000,0,2400,10800,2300,0,1300,4500,12200,1900,0,7500,14400
2015,Bukit Timah,,800,700,500,0,800,4900,3500,0,1400,3300,600,0,200,4400,6800,1000,0,1500,6400
2015,Central Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Changi Bay,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Choa Chu Kang,,4900,4300,1300,0,5500,5300,5200,0,3200,14600,2900,0,1700,7700,13800,2300,0,8100,16400
2015,Clementi,,2800,2700,500,0,2000,3700,2300,0,2000,4100,1400,0,500,4700,7400,1200,0,3500,7400
2015,Downtown Core,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Geylang,,5400,3700,1200,0,4100,5100,2700,0,2700,5600,1900,0,500,4400,7300,2300,0,4900,9500
2015,Hougang,,8300,5300,2200,0,7500,8700,5400,0,3800,12300,4000,0,1100,9100,17400,3100,0,10200,22600
2015,Jurong East,,2600,2600,1100,0,2100,2700,2500,0,900,6600,2100,0,700,3600,6400,1200,0,4100,6900
2015,Jurong West,,8200,7300,2700,0,10300,7500,5300,0,4400,29800,4800,0,2500,11000,18900,2900,0,15100,28000
2015,Kallang,,4800,3900,1800,0,2700,5200,2900,0,2500,4100,1500,0,600,4700,5000,2100,0,2900,10700
2015,Lim Chu Kang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Mandai,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marina East,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marina South,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Marine Parade,,1500,1000,300,0,700,3200,1500,0,1200,1700,500,0,0,1600,2700,500,0,1200,3800
2015,Museum,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Newton,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,North-Eastern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Novena,,1600,800,800,0,1200,3100,1300,0,1400,1300,1000,0,200,2400,3700,900,0,1200,3000
2015,Orchard,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Outram,,1300,1000,100,0,200,1400,600,0,600,700,400,0,0,900,1000,400,0,1000,2000
2015,Pasir Ris,,3500,3200,1000,0,3600,6200,3200,0,3000,8700,2300,0,600,5500,12500,1800,0,10900,12100
2015,Paya Lebar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Pioneer,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Punggol,,2800,2200,1100,0,2700,5100,2500,0,3100,6500,2300,0,700,5400,8600,1400,0,6100,10100
2015,Queenstown,,4200,2800,600,0,1500,4600,2100,0,2200,3300,1500,0,500,4600,7200,1600,0,5400,7200
2015,River Valley,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Rochor,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Seletar,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sembawang,,2500,2200,1000,0,2900,3300,2900,0,2000,6500,1600,0,600,3100,6400,700,0,3300,8300
2015,Sengkang,,7700,4800,2700,0,6000,11100,5800,0,6000,12700,3100,0,1400,9100,17300,2600,0,12100,21700
2015,Serangoon,,3400,2800,900,0,3300,6400,4200,0,2900,5500,2400,0,700,6000,10900,1900,0,4900,12000
2015,Simpang,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Singapore River,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Southern Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Straits View,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Sungei Kadut,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Tampines,,9200,8400,2800,0,6600,12800,7000,0,7800,14600,3700,0,1500,9300,22400,4200,0,18800,23800
2015,Tanglin,,400,200,100,0,0,1900,800,0,200,900,100,0,0,1200,1100,300,0,0,1700
2015,Tengah,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Toa Payoh,,6300,4500,1200,0,3200,5900,3400,0,2900,5800,2900,0,400,5700,8200,2000,0,5000,11500
2015,Tuas,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Western Islands,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Western Water Catchment,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2015,Woodlands,,8500,7400,2200,0,9600,7100,6600,0,3700,22300,4700,0,1700,8900,17000,3000,0,11300,20900
2015,Yishun,,9000,6900,1800,0,8100,6100,6900,0,3300,13100,4000,0,1500,7500,15700,3100,0,10700,21600
2020,Ang Mo Kio,,6312,5955,1327,,4011,7093,6104,,4572,7667,3205,,814,6504,10900,2300,,6989,12746
2020,Bedok,,9020,8647,1916,,4921,16117,8373,,8343,11396,4130,,938,12974,17137,4079,,15015,22211
2020,Bishan,,2259,2104,651,,1412,5739,3208,,3131,3758,1386,,339,4837,7368,1453,,2929,6885
2020,Boon Lay,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Bukit Batok,,4966,5356,1323,,4254,6058,6467,,3817,10254,2932,,1123,7084,12469,2396,,8346,13634
2020,Bukit Merah,,6200,5926,1492,,2125,8692,4996,,3985,5096,2415,,601,7811,9137,2242,,6424,11562
2020,Bukit Panjang,,4514,4819,1209,,3624,5416,4906,,3442,8656,2263,,869,5751,10889,1883,,7762,11488
2020,Bukit Timah,,939,984,411,,751,5910,3344,,2306,2277,840,,232,5526,5782,1090,,1170,5438
2020,Central Water Catchment,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Changi,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Changi Bay,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Choa Chu Kang,,5864,6777,1637,,4937,7198,6866,,4253,14730,2835,,1395,7830,16056,2081,,11872,16789
2020,Clementi,,2341,2695,795,,1327,4569,3340,,2290,4548,1409,,461,4537,7652,1134,,3930,6583
2020,Downtown Core,,76,71,17,,35,577,73,,150,57,32,,9,287,110,68,,60,340
2020,Geylang,,4833,4417,1049,,2703,6301,3258,,3247,4783,2553,,384,4922,6634,1431,,5182,9363
2020,Hougang,,8254,7644,1938,,5952,11571,8352,,6118,11231,4246,,1191,9241,16324,2996,,12324,19856
2020,Jurong East,,2522,2836,577,,1877,2611,2644,,1786,5722,1184,,647,3017,4979,938,,4366,6222
2020,Jurong West,,9478,9706,1849,,7341,8260,6952,,5264,23977,3390,,2137,10253,17171,2966,,16834,23209
2020,Kallang,,4466,3921,938,,1716,6188,3038,,2983,3903,1797,,267,5059,5999,1286,,4622,8735
2020,Lim Chu Kang,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Mandai,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Marina East,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Marina South,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Marine Parade,,906,997,288,,554,3908,1249,,1425,1145,632,,127,2538,2635,649,,1437,3638
2020,Museum,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Newton,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,North-Eastern Islands,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Novena,,1540,1137,313,,617,3704,2115,,1406,1405,723,,193,2890,2939,681,,1592,3912
2020,Orchard,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Outram,,1018,909,146,,232,1112,423,,448,607,332,,31,822,944,192,,799,1255
2020,Pasir Ris,,3384,4021,1218,,2959,8735,5210,,4320,7860,2086,,573,6756,14088,1978,,10150,11389
2020,Paya Lebar,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Pioneer,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Punggol,,4923,4237,1735,,3793,9420,5827,,5396,8534,2861,,696,7762,13660,2547,,9459,14687
2020,Queenstown,,2756,3007,778,,1309,5474,3000,,2891,3792,1289,,362,4622,7031,1395,,3666,6930
2020,River Valley,,180,149,59,,66,1379,252,,364,252,53,,22,911,520,184,,211,769
2020,Rochor,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Seletar,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Sembawang,,3761,3389,1017,,3397,4314,4099,,2757,8165,1648,,692,3951,7280,1169,,5199,8671
2020,Sengkang,,7411,7682,2234,,6424,13077,9275,,7884,12683,4214,,1227,10549,19054,3369,,14473,21859
2020,Serangoon,,3408,3150,850,,3049,6751,4275,,3628,5040,1754,,433,6351,8487,1798,,4374,10210
2020,Simpang,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Singapore River,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Southern Islands,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Straits View,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Sungei Kadut,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Tampines,,8707,8710,2404,,4431,13712,9211,,7424,13088,4299,,1506,9884,19842,3084,,19154,19091
2020,Tanglin,,267,217,119,,121,2494,845,,658,465,125,,48,1687,876,359,,321,1604
2020,Tengah,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Toa Payoh,,4453,4253,1017,,2150,6504,4559,,2862,4514,2428,,483,5251,8110,1848,,5484,9638
2020,Tuas,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Western Islands,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Western Water Catchment,,0,0,0,,0,0,0,,0,0,0,,0,0,0,0,,0,0
2020,Woodlands,,8469,8857,2213,,7858,8672,8987,,4901,20793,3511,,1417,7657,19575,2841,,14158,18793
2020,Yishun,,9151,7719,2046,,6604,9088,9228,,5141,13338,3911,,1266,8063,14614,2838,,11589,17601
